Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
1547-Giấy ăn Bouny,Sản phẩm thường,BVS - DDVSPN - Giấy,037000781547,037000781547,Có,66700,75000,70000,100000,75000,75000,Cái,66700,0,66700,0,66700,0,66700,0,66700,0
Giấy cuộn lau bếp ,Sản phẩm thường,BVS - DDVSPN - Giấy,037000963585,037000963585,Có,67000,80000,80000,95000,80000,80000,Cuộn,67000,0,67000,0,67000,0,67000,0,67000,0
Giấy ăn hộp nguyên thùng,Sản phẩm thường,BVS - DDVSPN - Giấy,2000000112,2000000112,Có,850000,950000,950000,1250,950000,1000,thùng,850000,0,850000,0,850000,0,850000,0,850000,0
Khăn giấy nhỏ ,Sản phẩm thường,BVS - DDVSPN - Giấy,2020,2020,Có,100,4000,4000,5000,4000,4200,Gói,100,0,100,0,100,0,100,0,100,0
Giấy hộp Lifelex,Sản phẩm thường,BVS - DDVSPN - Giấy,4522831579556,4522831579556,Có,17000,17500,17500,25000,17500,18000,Hộp,17000,0,17000,0,17000,0,17000,0,17000,0
1258v-Giấy ướt nhỏ block Daiso,Sản phẩm thường,BVS - DDVSPN - Giấy,4549131251258,4549131251258,Có,28000,35000,35000,40000,35000,37000,Set,28000,0,28000,0,28000,0,28000,0,28000,0
7946v-Giấy ướt Mickey Disney 80M,Sản phẩm thường,BVS - DDVSPN - Giấy,4549131497946,4549131497946,Có,28000,35000,35000,40000,35000,33000,Gói,28000,0,28000,0,28000,0,28000,0,28000,0
4348-Khăn giấy bếp Daiso,Sản phẩm thường,BVS - DDVSPN - Giấy,4549131734348,4549131734348,Có,28000,35000,32000,40000,35000,36000,Set,28000,25,28000,21,28000,0,28000,0,28000,0
Giấy lau tẩy mùi hôi Nam,Sản phẩm thường,BVS - DDVSPN - Giấy,4560314703081,4560314703081,Có,40000,50000,50000,65000,50000,50000,gói,40000,0,40000,0,40000,0,40000,0,40000,0
Giấy hộp,Sản phẩm thường,BVS - DDVSPN - Giấy,4580287281102,4580287281102,Có,17000,17500,17500,25000,17500,18000,Hộp,17000,0,17000,0,17000,0,17000,0,17000,0
Vệ sinh phụ nữ  PH mùi hoa lan ( xanh dương),Sản phẩm thường,BVS - DDVSPN - Giấy,4582372200012,4582372200012,Có,125000,140000,140000,200000,140000,150000,hộp,125000,0,125000,0,125000,0,125000,0,125000,0
Vệ sinh phụ nữ màu tím,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372200036,4582372200036,Có,137000,140000,140000,200000,140000,150000,chai,137000,0,137000,0,137000,0,137000,0,137000,0
Nước rửa vệ sinh phụ nữ xanh lá cây,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372200777,4582372200777,Có,132000,140000,140000,200000,140000,150000,chai,132000,0,132000,0,132000,0,132000,0,132000,0
Nước rửa vspn PH care hương hoa hồng 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372211117,4582372211117,Có,125000,140000,140000,200000,140000,145000,hộp,125000,0,125000,0,125000,0,125000,0,125000,0
Nước rửa vspn PH care hoa sứ 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372212220,4582372212220,Có,125000,135000,135000,200000,135000,140000,chai (24),125000,0,125000,0,125000,0,125000,0,125000,0
Nước rửa vspn PH Premium hương hoa hồng 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372213319,4582372213319,Có,125000,135000,130000,200000,135000,140000,chai(24),125000,9,125000,27,125000,43,125000,0,125000,0
Nước rửa vspn PH Premium hương hoa 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372213326,4582372213326,Có,125000,135000,130000,200000,135000,140000,chai(24),125000,28,125000,10,125000,24,125000,0,125000,0
Nước rửa vspn PH Premium hương hoa Lily 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372213333,4582372213333,Có,125000,135000,130000,200000,135000,140000,chai(24),125000,22,125000,21,125000,22,125000,0,125000,0
Nước rửa vspn PH Premium hương bạc hà 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372213388,4582372213388,Có,125000,135000,130000,200000,135000,140000,chai(24),125000,11,125000,13,125000,22,125000,0,125000,0
Nước rửa vspn PH care đu đủ 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372216662,4582372216662,Có,130000,135000,133000,160000,135000,140000,Hộp (24),130000,0,130000,0,130000,2,130000,0,130000,0
Nước rửa vspn PH care bồ công anh 150ml,Sản phẩm thường,BVS - DDVSPN - Giấy,4582372217775,4582372217775,Có,130000,140000,140000,200000,140000,150000,Hộp (24),130000,0,130000,0,130000,0,130000,0,130000,0
0585-Khăn giấy gấu đen lau tay hải sản 30Mx2,Sản phẩm thường,BVS - DDVSPN - Giấy,4582470220585,4582470220585,Có,28000,35000,35000,50000,35000,37000,Block(36),28000,0,28000,0,28000,0,28000,0,28000,0
Giấy hộp Nepia xanh ngọc,Sản phẩm thường,BVS - DDVSPN - Giấy,4901121172606,4901121172606,Có,17000,17500,17500,25000,17500,18000,hộp,17000,0,17000,0,17000,0,17000,0,17000,0
Giấy vệ sinh Nepi xanh dương 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4901121208169,4901121208169,Có,120000,130000,130000,180000,130000,135000,block (8),120000,0,120000,0,120000,0,120000,0,120000,0
Giấy vệ sinh Nepi xanh lá 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4901121267616,4901121267616,Có,120000,130000,130000,180000,130000,135000,block (8),120000,0,120000,0,120000,0,120000,0,120000,0
BVS Laurier ngày không cánh,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301258427,4901301258427,Có,32500,36000,35000,60000,36000,37500,gói(24),32500,6,32500,2,32500,5,32500,0,32500,0
BVS Laurier ngày có cánh 20cm,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301258434,4901301258434,Có,32500,37500,35000,60000,37500,40000,gói (32),32500,18,32500,20,32500,20,32500,0,32500,0
BVS Laurier đêm không cánh,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301258588,4901301258588,Có,35000,35000,35000,60000,35000,35000,gói,35000,0,35000,0,35000,0,35000,0,35000,0
BVS Laurier đêm có cánh,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301258601,4901301258601,Có,32500,37500,35000,60000,37500,40000,Bịch (24),32500,21,32500,18,32500,20,32500,0,32500,0
6210-BVS Laurier hàng ngày 72M xanh dương,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301306210,4901301306210,Có,62000,67000,65000,100000,67000,70000,Gói(12),62000,13,62000,10,62000,4,62000,0,62000,0
6234-BVS Laurier hàng ngày 72M Tím,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301306234,4901301306234,Có,65000,67000,65000,100000,67000,70000,Gói(12),65000,10,65000,17,65000,16,65000,0,65000,0
6258-BVS Laurier hàng ngày 72M Hoa hồng,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301306258,4901301306258,Có,62000,67000,65000,100000,67000,70000,Gói(12),62000,22,62000,10,62000,16,62000,0,62000,0
6265-BVS Laurier hàng ngày 72M hoa mẫu đơn,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301306265,4901301306265,Có,62000,67000,65000,100000,67000,70000,Gói(12),62000,19,62000,13,62000,15,62000,0,62000,0
6289-BVS Laurier hàng ngày 72M Xanh Biển,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301306289,4901301306289,Có,65000,67000,65000,100000,67000,70000,Gói(12),65000,21,65000,12,65000,8,65000,0,65000,0
BVS hàng ngày phân tử bạc,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301306302,4901301306302,Có,75000,80000,80000,100000,80000,75000,gói,75000,0,75000,0,75000,0,75000,0,75000,0
4060-BVS Laurier hàng ngày hoa cúc 62M,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301334060,4901301334060,Có,75000,70000,70000,100000,70000,75000,Gói,75000,0,75000,0,75000,0,75000,0,75000,0
4084-BVS Laurier hàng ngày hoa hồng 62M,Sản phẩm thường,BVS - DDVSPN - Giấy,4901301334084,4901301334084,Có,75000,77000,75000,100000,77000,80000,Gói,75000,0,75000,0,75000,0,75000,0,75000,0
Giấy vệ sinh Scottie 12 cuộn ,Sản phẩm thường,BVS - DDVSPN - Giấy,4901750268107,4901750268107,Có,110000,125000,125000,160000,125000,130000,Block (8),110000,0,110000,0,110000,0,110000,0,110000,0
Giấy ăn Scottie ( block),Sản phẩm thường,BVS - DDVSPN - Giấy,4901750412555,4901750412555,Có,85000,85000,85000,110000,85000,100000,Hộp,85000,0,85000,0,85000,0,85000,0,85000,0
Giấy ăn Scottie ( hộp),Sản phẩm thường,BVS - DDVSPN - Giấy,4901750412562,4901750412562,Có,17000,17500,17500,25000,17500,18000,Hộp,17000,0,17000,0,17000,0,17000,0,17000,0
Khăn giấy bỏ túi siêu mềm mịn (6 gói),Sản phẩm thường,BVS - DDVSPN - Giấy,4901988104055,4901988104055,Có,30550,35000,35000,45000,35000,35000,Set,30550,6,30550,3,30550,6,30550,0,30550,0
Khăn giấy bỏ túi siêu mềm mịn (12 gói),Sản phẩm thường,BVS - DDVSPN - Giấy,4901988107094,4901988107094,Có,48750,53000,52000,75000,53000,54000,Set,48750,2,48750,4,48750,2,48750,0,48750,0
Khăn giấy bỏ túi cao cấp Sarasa set 16,Sản phẩm thường,BVS - DDVSPN - Giấy,4901988111046,4901988111046,Có,42250,47000,45000,60000,47000,50000,Set,42250,0,42250,3,42250,4,42250,0,42250,0
2308-Giấy hộp Cute 160 tờ,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011712308,4902011712308,Có,17000,20000,19000,25000,20000,20000,Hộp(60),17000,0,17000,0,17000,0,17000,0,17000,0
Giấy ăn CUTE Block 5 hộp,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011712315,4902011712315,Có,70000,82000,80000,100000,82000,85000,Block(12),70000,0,70000,0,70000,0,70000,0,70000,0
713619-Giấy hộp Elleair hoa anh đào 180 tờ,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011713619,4902011713619,Có,90000,100000,95000,130000,100000,103000,block,90000,0,90000,0,90000,0,90000,0,90000,0
Giấy hộp Elleair hoa anh đào (lẻ),Sản phẩm thường,BVS - DDVSPN - Giấy,4902011713725,4902011713725,Có,18000,22000,22000,30000,22000,23000,hộp,18000,0,18000,0,18000,0,18000,0,18000,0
Khăn giấy bỏ túi set 16 gói,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011715781,4902011715781,Có,35750,39000,38000,55000,39000,40000,Set,35750,4,35750,4,35750,7,35750,0,35750,0
Giấy vệ sinh Elleair xanh dương block 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011720037,4902011720037,Có,120000,130000,130000,180000,130000,135000,block (8),120000,0,120000,0,120000,0,120000,0,120000,0
Giấy vệ sinh Elleair xanh lá 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011720044,4902011720044,Có,120000,130000,130000,180000,130000,135000,Block (8),120000,0,120000,0,120000,0,120000,0,120000,0
Giấy vệ sinh Elleair xanh dương 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011724639,4902011724639,Có,120000,130000,130000,180000,130000,135000,block (8),120000,0,120000,0,120000,0,120000,0,120000,0
Giấy vệ sinh Elleair xanh lá block 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011724646,4902011724646,Có,120000,130000,130000,180000,130000,135000,block (8),120000,0,120000,0,120000,0,120000,0,120000,0
9450-Giấy vệ sinh 12 cuộn xanh biển ,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011729450,4902011729450,Có,95000,105000,100000,170000,105000,110000,Block(6),95000,0,95000,0,95000,1,95000,0,95000,0
9467-Giấy vệ sinh 12 cuộn xanh lá ,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011729467,4902011729467,Có,95000,105000,100000,170000,105000,110000,Block(6),95000,0,95000,0,95000,0,95000,0,95000,0
0458-BVS ngày Elleair 26M,Sản phẩm thường,BVS - DDVSPN - Giấy,4902011880458,4902011880458,Có,35000,55000,50000,100000,55000,60000,gói(36),35000,38,35000,8,35000,4,35000,0,35000,0
Giấy vệ sinh hồng block 12 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4902727009877,4902727009877,Có,120000,130000,130000,170000,130000,135000,block (8),120000,0,120000,0,120000,0,120000,0,120000,0
2659-Khăn giấy ướt khử mùi cho Nam Gatsby 50 miếng,Sản phẩm thường,BVS - DDVSPN - Giấy,4902806102659,4902806102659,Có,85000,95000,90000,130000,95000,98000,gói(36),85000,10,85000,0,85000,0,85000,0,85000,0
1339-BVS đêm Unicharm 12M,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111321339,4903111321339,Có,68000,55000,50000,100000,55000,60000,gói(24),68000,0,68000,0,68000,0,68000,0,68000,0
9274-BVS Soft Tampon xanh nhạt Unicharm 34M,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111329274,4903111329274,Có,182000,200000,195000,280000,200000,205000,Hộp(36),182000,0,182000,0,182000,0,182000,0,182000,0
9793-Tampon xanh lá mạ 32M Unicharm,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111329793,4903111329793,Có,182000,200000,195000,280000,200000,205000,Hộp(36),182000,0,182000,0,182000,0,182000,0,182000,0
1314-BVS Tampon xanh biển Unicharm 34M,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111331314,4903111331314,Có,175000,200000,195000,280000,200000,205000,Hộp(36),175000,0,175000,0,175000,0,175000,0,175000,0
2273-BVS tăm bông Unicham 9 cái tím,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111342273,4903111342273,Có,60000,67000,65000,100000,67000,70000,Gói,60000,8,60000,16,60000,5,60000,0,60000,0
3407-BVS ngày Unicharm 20M,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111363407,4903111363407,Có,68000,55000,50000,100000,55000,60000,Gói(18),68000,1,68000,0,68000,0,68000,0,68000,0
0795-BVS tăm bông Unicham 10 cái xanh biển,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111370795,4903111370795,Có,60000,70000,65000,100000,70000,72000,Gói,60000,10,60000,7,60000,6,60000,0,60000,0
0955-BVS tăm bông Unicham 9 cái xanh lá,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111370955,4903111370955,Có,60000,67000,65000,100000,67000,70000,Gói,60000,12,60000,14,60000,13,60000,0,60000,0
BVS tăm bông Unicharm 32c xla vừa,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111371174,4903111371174,Có,175000,190000,190000,280000,190000,195000,Gói ,175000,0,175000,0,175000,0,175000,0,175000,0
BVS tăm bông Unicharm 25c tím,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111371259,4903111371259,Có,175000,190000,190000,280000,190000,195000,Gói ( 36),175000,0,175000,0,175000,0,175000,0,175000,0
BVS Laurier ngày có cánh,Sản phẩm thường,BVS - DDVSPN - Giấy,4903111382576,4903111382576,Có,30000,35000,35000,58000,35000,35000,gói (32),30000,0,30000,0,30000,0,30000,0,30000,0
Khăn giấy ướt Lec SS266 K99%,Sản phẩm thường,BVS - DDVSPN - Giấy,4903320482661,4903320482661,Có,25000,29000,29000,40000,29000,30000,Gói,25000,0,25000,0,25000,0,25000,0,25000,0
"Khăn ướt Lec 99,9% nước tinh khiết Sanrio 80 tờ",Sản phẩm thường,BVS - DDVSPN - Giấy,4903320483842,4903320483842,Có,27360,33000,32000,45000,33000,34000,Gói,27360,40,27360,26,27360,95,27360,0,27360,0
Khăn giấy lau bếp set 2 cuộn,Sản phẩm thường,BVS - DDVSPN - Giấy,4904040016433,4904040016433,Có,34450,42000,40000,55000,42000,43000,Cuộn (24),34450,13,34450,4,34450,5,34450,0,34450,0
1870-Khăn giấy ướt Kyowa dùng lau hải sản 20Mx2,Sản phẩm thường,BVS - DDVSPN - Giấy,4969757121870,4969757121870,Có,28000,35000,35000,50000,35000,37000,Block(20),28000,3,28000,6,28000,0,28000,0,28000,0
3317-Khăn giấy ướt gấu hồng dùng ăn hải sản 30Mx2,Sản phẩm thường,BVS - DDVSPN - Giấy,4969757123317,4969757123317,Có,28000,35000,35000,50000,35000,37000,Block(20),28000,0,28000,0,28000,0,28000,0,28000,0
Giấy hộp Elemoi,Sản phẩm thường,BVS - DDVSPN - Giấy,4971633002791,4971633002791,Có,17000,17500,17500,25000,17500,18000,Hộp,17000,0,17000,0,17000,0,17000,0,17000,0
3767-Block giấy ăn Elemoi 200 miếng,Sản phẩm thường,BVS - DDVSPN - Giấy,4971633003767,4971633003767,Có,70834,85000,85000,110000,85000,87000,block,70834,0,70834,0,70834,0,70834,0,70834,0
1832-Giấy vệ sinh hoa hồng,Sản phẩm thường,BVS - DDVSPN - Giấy,4971633161832,4971633161832,Có,160000,180000,180000,220000,180000,195000,Cái,160000,0,160000,0,160000,0,160000,0,160000,0
Giấy vệ sinh Ellemoi 2 lớp (30m x 4 cuộn),Sản phẩm thường,BVS - DDVSPN - Giấy,4971633161856,4971633161856,Có,61246,67000,65000,80000,67000,68000,Bịch,61246,0,61246,4,61246,2,61246,0,61246,0
1894 Giấy vệ sinh ILEP hồng 18 cuộn ,Sản phẩm thường,BVS - DDVSPN - Giấy,4971633161894,4971633161894,Có,160000,180000,180000,230000,180000,185000,Block (4),160000,0,160000,0,160000,0,160000,0,160000,0
Giấy vệ sinh ILEP xanh,Sản phẩm thường,BVS - DDVSPN - Giấy,4971633161900,4971633161900,Có,140000,160000,160000,200000,160000,165000,set,140000,0,140000,0,140000,0,140000,0,140000,0
