Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Kitkat gói lẻ,Sản phẩm thường,Bánh kẹo,01,01,Có,0,20000,20000,3000,20000,45000,cái,0,6,0,1,0,0,0,0,0,0
Chocolate Covered Fruit Medley 907g,Sản phẩm thường,Bánh kẹo,037041058844,037041058844,Có,410000,430000,430000,250000,430000,435000,hộp,410000,0,410000,0,410000,0,410000,0,410000,0
Brookside Dark Chocolate 907g,Sản phẩm thường,Bánh kẹo,068437389754,068437389754,Có,360000,380000,380000,450000,380000,385000,gói,360000,0,360000,0,360000,0,360000,0,360000,0
Chocola rượu Antho Berg,Sản phẩm thường,Bánh kẹo,074540891336,074540891336,Có,550000,580000,580000,650000,580000,590000,Hộp,550000,0,550000,0,550000,0,550000,0,550000,0
Chocolate Remy Martin Liqueur 516g,Sản phẩm thường,Bánh kẹo,074540893330,074540893330,Có,280000,295000,295000,400000,295000,300000,hộp,280000,0,280000,0,280000,0,280000,0,280000,0
0526-Bánh Quy Custard Cream,Sản phẩm thường,Bánh kẹo,084501210526,084501210526,Có,25000,32000,30000,45000,32000,33000,Hộp (24),25000,0,25000,0,25000,0,25000,0,25000,0
Chocolate Kirkland Milk Almond 1.36kg,Sản phẩm thường,Bánh kẹo,096619376056,096619376056,Có,400000,420000,420000,500000,420000,425000,hộp,400000,0,400000,0,400000,0,400000,0,400000,0
1012-Chocolate Belgian Luxury 46M ,Sản phẩm thường,Bánh kẹo,096619381012,096619381012,Có,420000,460000,460000,120000,460000,490000,Hộp(12),420000,0,420000,0,420000,0,420000,0,420000,0
Hạt dẻ cười Kirkland 1.36kg,Sản phẩm thường,Bánh kẹo,096619545346,096619545346,Có,500000,520000,520000,600000,520000,525000,gói,500000,0,500000,0,500000,0,500000,0,500000,0
Kẹo Que Fuji lẻ,Sản phẩm thường,Bánh kẹo,10191,10191,Có,3000,4000,4000,5000,4000,4200,cây,3000,0,3000,0,3000,0,3000,0,3000,0
Kẹo Fujiya lẻ ,Sản phẩm thường,Bánh kẹo,11111,11111,Có,0,2000,2000,5000,2000,2200,Cái,0,5,0,28,0,284,0,0,0,0
Kitkat Trà Xanh Sale,Sản phẩm thường,Bánh kẹo,2011,2011,Có,30000,35000,35000,45000,35000,45000,gói(12),30000,0,30000,0,30000,0,30000,0,30000,0
0679-Kẹo túi lẻ  Hellokitty,Sản phẩm thường,Bánh kẹo,300679,300679,Có,28000,30000,30000,20000,30000,30000,Gói,28000,0,28000,0,28000,0,28000,0,28000,0
0661-Bánh mì hoa cúc mini,Sản phẩm thường,Bánh kẹo,3228857000661,3228857000661,Có,75000,82000,80000,110000,82000,85000,Gói(45),75000,33,75000,36,75000,59,75000,0,75000,0
0654-Bánh mì hoa cúc Pháp 500g,Sản phẩm thường,Bánh kẹo,3228857001231,3228857001231,Có,100000,107000,105000,140000,107000,110000,Gói(25),100000,21,100000,44,100000,48,100000,0,100000,0
2336-Kẹo Cherry mát lạnh ,Sản phẩm thường,Bánh kẹo,402435012336,402435012336,Có,37000,,,60000,,,Gói(6),37000,0,37000,0,37000,0,37000,0,37000,0
5445-Kẹo Singum Stride Mint xanh dương,Sản phẩm thường,Bánh kẹo,45075445,45075445,Có,26000,31000,31000,45000,31000,35000,Hộp(16*12),26000,0,26000,0,26000,0,26000,0,26000,0
