Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Khẩu Trang Kháng Khuẩn ,Sản phẩm thường,Dụng Cụ Y Khoa,03,03,Có,10000,14000,12000,20000,14000,15000,Cái ,10000,51,10000,19,10000,29,10000,0,10000,0
Khẩu Trang Kháng Khuẩn Y Tế Nhật,Sản phẩm thường,Dụng Cụ Y Khoa,07,07,Có,10000,,,15000,,,cái,10000,322,10000,25,10000,0,10000,0,10000,0
Máy đo huyết áp Omron ,Sản phẩm thường,Dụng Cụ Y Khoa,18000,18000,Có,780000,900000,850000,1050,900000,950000,Cái,780000,2,780000,3,780000,4,780000,0,780000,0
Đai chống đau lưng W size L ,Sản phẩm thường,Dụng Cụ Y Khoa,22371,22371,Có,700000,800000,800000,1000,800000,830000,Cái,700000,0,700000,0,700000,0,700000,0,700000,0
Bàn chải Nhật,Sản phẩm thường,Dụng Cụ Y Khoa,256496,256496,Có,38000,47000,45000,60000,47000,50000,Cái,38000,20,38000,0,38000,12,38000,0,38000,0
Miếng băng đầu gối Kowa,Sản phẩm thường,Dụng Cụ Y Khoa,422030100,422030100,Có,340000,385000,360000,500000,385000,400000,Cái,340000,0,340000,0,340000,0,340000,0,340000,0
Nhiệt kế Omron ,Sản phẩm thường,Dụng Cụ Y Khoa,425707,425707,Có,145000,170000,160000,300000,170000,175000,Cái,145000,0,145000,0,145000,0,145000,0,145000,0
Máy masage Hitachi CM-N4000,Sản phẩm thường,Dụng Cụ Y Khoa,4526044010011,4526044010011,Có,4100,4500,4500,5000,4500,4800,Cái,4100,0,4100,0,4100,0,4100,0,4100,0
Máy Massage Hitachi CM-N4800,Sản phẩm thường,Dụng Cụ Y Khoa,4526044011223,4526044011223,Có,3800,3950,3900,5000,3950,4050,cái,3800,0,3800,0,3800,0,3800,0,3800,0
Máy Massage Hadacrie N5000,Sản phẩm thường,Dụng Cụ Y Khoa,4526044011704,4526044011704,Có,5727,6100,6000,7500,6100,6150,Cái,5727,0,5727,0,5727,0,5727,0,5727,0
0499-Bao cao su Okamoto 0.02 nhãn vàng 6 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4547691710499,4547691710499,Có,140000,,,220000,,,Hộp,140000,1,140000,0,140000,0,140000,0,140000,0
0505-Bao cao su Okamoto 0.02 nhãn vàng 6 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4547691710505,4547691710505,Có,140000,,,220000,,,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
0529-Bao cao su Okamoto 0.02 6 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4547691710529,4547691710529,Có,140000,,,220000,,,Hộp,140000,2,140000,0,140000,0,140000,0,140000,0
1425-Bao cao su Okamoto 0.02 nhãn vàng 12 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4547691731425,4547691731425,Có,140000,,,300000,,,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
Bao cao su OKAMOTO 0.01 đỏ size M,Sản phẩm thường,Dụng Cụ Y Khoa,4547691749192,4547691749192,Có,135000,150000,145000,180000,150000,155000,hộp,135000,7,135000,10,135000,6,135000,0,135000,0
9208-BCS Okamoto Den.01,Sản phẩm thường,Dụng Cụ Y Khoa,4547691749208,4547691749208,Có,140000,148000,145000,170000,148000,150000,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
0846-Bao cao su Okamoto  0.03 set 6 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4547691750846,4547691750846,Có,150000,165000,160000,250000,165000,170000,Cái,150000,7,150000,10,150000,4,150000,0,150000,0
0853-Bao cao su Okamoto  0.02 set 6 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4547691750853,4547691750853,Có,150000,165000,160000,250000,165000,170000,Cái,150000,7,150000,8,150000,5,150000,0,150000,0
Gel bôi trơn Okamoto Zero One 001,Sản phẩm thường,Dụng Cụ Y Khoa,4547691764744,4547691764744,Có,195000,210000,205000,300000,210000,215000,Hộp,195000,6,195000,11,195000,8,195000,0,195000,0
5772-Bao cao su 0.01 màu xanh size M,Sản phẩm thường,Dụng Cụ Y Khoa,4547691765772,4547691765772,Có,135000,150000,145000,180000,150000,155000,Cái,135000,10,135000,9,135000,2,135000,0,135000,0
Bao cao su 0.01mm size L,Sản phẩm thường,Dụng Cụ Y Khoa,4547691775122,4547691775122,Có,135000,150000,145000,180000,150000,155000,Hộp,135000,5,135000,3,135000,4,135000,0,135000,0
8283-Bao cao su Okamoto  0.02 set 6 cái trắng,Sản phẩm thường,Dụng Cụ Y Khoa,4547691788283,4547691788283,Có,150000,165000,160000,250000,165000,170000,Cái,150000,0,150000,0,150000,0,150000,0,150000,0
6295-Bao cao su Okamoto 0.03 xanh Viva Gel,Sản phẩm thường,Dụng Cụ Y Khoa,4547691796295,4547691796295,Có,140000,,,280000,,,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
8220-Bông ngoáy tai 200 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4549131078220,4549131078220,Có,28000,35000,32000,50000,35000,37000,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
6226-Vòng tay ổn định HA Nữ trắng đính hột  H.M.Medical ,Sản phẩm thường,Dụng Cụ Y Khoa,4560438576226,4560438576226,Có,1300,1400,1400,1800,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
6233-Vòng tay ổn định HA Nữ vàng H.M.Medical,Sản phẩm thường,Dụng Cụ Y Khoa,4560438576233,4560438576233,Có,1300,1400,1350,1800,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
6288-Vòng tay ổn định HA Nam vàng trắng H.M.Medical,Sản phẩm thường,Dụng Cụ Y Khoa,4560438576288,4560438576288,Có,1300,1400,1350,1800,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
6295-Vòng tay ổn định HA Nữ vàng trắng H.M.Medical,Sản phẩm thường,Dụng Cụ Y Khoa,4560438576295,4560438576295,Có,1300,1400,1350,1800,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
6318-Vòng tay ổn định HA Nam vàng H.M.Medical,Sản phẩm thường,Dụng Cụ Y Khoa,4560438576318,4560438576318,Có,1300,1400,1350,1800,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
6325-Vòng tay ổn điịnh HA Nữ vàng đính hột H.M.Medical,Sản phẩm thường,Dụng Cụ Y Khoa,4560438576325,4560438576325,Có,1300,1400,1350,1800,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
Máy đo huyết áp CitiZen 453,Sản phẩm thường,Dụng Cụ Y Khoa,4562191601344,4562191601344,Có,950000,1050,1050,1400,1050,1100,Cái,950000,0,950000,0,950000,0,950000,0,950000,0
Máy đo huyết áp bắp tay ,Sản phẩm thường,Dụng Cụ Y Khoa,4562191602174,4562191602174,Có,950000,1050,1020,1400,1050,1100,Cái,950000,0,950000,0,950000,0,950000,0,950000,0
0226-Miếng dán thải độc chân Hot Gelma 28M,Sản phẩm thường,Dụng Cụ Y Khoa,4562256330226,4562256330226,Có,225000,240000,240000,350000,240000,245000,hộp (48),225000,0,225000,0,225000,0,225000,0,225000,0
6373-Thẻ ngăn ngừa virus Toamit 30 ngày,Sản phẩm thường,Dụng Cụ Y Khoa,4562441906373,4562441906373,Có,145000,152000,150000,175000,152000,155000,Cái(50),145000,47,145000,11,145000,81,145000,0,145000,0
6380-Thẻ ngăn ngừa Virus Toamit 30 ngày dây đeo,Sản phẩm thường,Dụng Cụ Y Khoa,4562441906380,4562441906380,Có,100000,105000,103000,120000,105000,107000,Gói,100000,733,100000,46,100000,49,100000,0,100000,0
6427-Xịt khử khuẩn Toamit 350ml,Sản phẩm thường,Dụng Cụ Y Khoa,4562441906427,4562441906427,Có,180000,190000,185000,215000,190000,195000,Chai(24),180000,50,180000,21,180000,12,180000,0,180000,0
Khẩu trang chống ô nhiễm (size L) hộp 50 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4571225165462,4571225165462,Có,85150,98000,98000,130000,98000,105000,Cái,85150,0,85150,0,85150,0,85150,0,85150,0
0329 - Gel Sát Khuẩn AG 25ml,Sản phẩm thường,Dụng Cụ Y Khoa,4580645020329,4580645020329,Có,45000,80000,75000,100000,80000,85000,Chai ,45000,0,45000,0,45000,0,45000,0,45000,0
0343-Gel rửa tay khô 480ml,Sản phẩm thường,Dụng Cụ Y Khoa,4580645020343,4580645020343,Có,280000,290000,285000,325000,290000,295000,Chai(12),280000,17,280000,21,280000,16,280000,0,280000,0
0520-Đũa thần se khít vùng kín Inclear,Sản phẩm thường,Dụng Cụ Y Khoa,4582178200520,4582178200520,Có,430000,460000,455000,650000,460000,465000,hộp,430000,5,430000,2,430000,2,430000,0,430000,0
Khẩu Trang 4 lớp Xuất NHật,Sản phẩm thường,Dụng Cụ Y Khoa,4582370516870,4582370516870,Có,220000,,,270000,,,Hộp (50),220000,163,220000,30,220000,77,220000,0,220000,0
Vòng đeo cổ ổn định huyết áp Toma (Nữ),Sản phẩm thường,Dụng Cụ Y Khoa,4582384501251,4582384501251,Có,1800,1880,1850,1950,1880,1900,cái,1800,3,1800,4,1800,2,1800,0,1800,0
1268-Vòng đeo tay ổn định HA TOMA Nam màu vàng,Sản phẩm thường,Dụng Cụ Y Khoa,4582384501268,4582384501268,Có,1150,1250,1200,1650,1250,1280,Cái,1150,2,1150,1,1150,0,1150,0,1150,0
Vòng đeo cổ ổn định huyết áp Toma (Nam),Sản phẩm thường,Dụng Cụ Y Khoa,4582384501275,4582384501275,Có,1800,1950,1900,2400,1950,2350,Cái,1800,0,1800,1,1800,0,1800,0,1800,0
11281- Vòng đeo tay ổn định HA Nữ  TOMA màu vàng ,Sản phẩm thường,Dụng Cụ Y Khoa,4582384501281,4582384501281,Có,1150,1250,1200,1650,1250,1280,Cái,1150,2,1150,1,1150,1,1150,0,1150,0
Vòng đeo tay ổn định huyết áp Nam trắng TOMA,Sản phẩm thường,Dụng Cụ Y Khoa,4582384501286,4582384501286,Có,1750,1800,1780,2350,1800,1850,Cái,1750,0,1750,2,1750,1,1750,0,1750,0
6910-Xịt chống khuẩn Earth 75ml,Sản phẩm thường,Dụng Cụ Y Khoa,4901080576910,4901080576910,Có,300000,,,450000,,,Chai,300000,0,300000,0,300000,0,300000,0,300000,0
Miếng dán đau bụng kinh Kao 5M,Sản phẩm thường,Dụng Cụ Y Khoa,4901301245496,4901301245496,Có,156000,170000,165000,220000,170000,175000,Hộp,156000,3,156000,5,156000,2,156000,0,156000,0
Miéng dán chống đau nhức vai gáy ,Sản phẩm thường,Dụng Cụ Y Khoa,4901548601185,4901548601185,Có,2750,2850,2850,3050,2850,2900,Hộp,2750,0,2750,0,2750,0,2750,0,2750,0
Cặp nhiệt độ Pigeon,Sản phẩm thường,Dụng Cụ Y Khoa,4902508103589,4902508103589,Có,330000,350000,350000,550000,350000,380000,cái,330000,0,330000,3,330000,0,330000,0,330000,0
Cặp nhiệt độ Pigeon,Sản phẩm thường,Dụng Cụ Y Khoa,4902508103596,4902508103596,Có,330000,350000,350000,550000,350000,380000,cái,330000,0,330000,1,330000,0,330000,0,330000,0
Vòng ổn định huyết áp EX size 50cm,Sản phẩm thường,Dụng Cụ Y Khoa,4902522669108,4902522669108,Có,350000,370000,360000,450000,370000,375000,Cái,350000,0,350000,0,350000,0,350000,0,350000,0
Vòng ổn định huyết áp EX size 60cm,Sản phẩm thường,Dụng Cụ Y Khoa,4902522669115,4902522669115,Có,340000,370000,370000,450000,370000,375000,cái,340000,0,340000,0,340000,0,340000,0,340000,0
Vòng ổn định huyết áp EX size 45cm,Sản phẩm thường,Dụng Cụ Y Khoa,4902522670463,4902522670463,Có,355000,370000,360000,450000,370000,380000,cái,355000,0,355000,1,355000,0,355000,0,355000,0
4152 - Khẩu trang Unicharm 100 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4903111504152,4903111504152,Có,236610,470000,470000,275000,470000,480000,Hộp(24),236610,7,236610,0,236610,2,236610,0,236610,0
Khẩu trang Unicharm 50 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4903111947614,4903111947614,Có,180000,215000,215000,280000,215000,220000,hộp,180000,0,180000,0,180000,0,180000,0,180000,0
Khẩu Trang Kháng Khuẩn UV ,Sản phẩm thường,Dụng Cụ Y Khoa,4963427666661,4963427666661,Có,25000,31000,30000,50000,31000,32000,gói ,25000,154,25000,85,25000,38,25000,0,25000,0
2358-Bao cao su Okamoto  0.03 set 12 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4970520232358,4970520232358,Có,140000,165000,160000,300000,165000,170000,Cái,140000,0,140000,0,140000,0,140000,0,140000,0
Miếng băng gối kowa size L,Sản phẩm thường,Dụng Cụ Y Khoa,4972422030285,4972422030285,Có,300000,325000,320000,400000,325000,330000,Cái,300000,0,300000,0,300000,0,300000,0,300000,0
9024-Bao cao su Jex Moist Type 12 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4973210019024,4973210019024,Có,140000,,,250000,,,Hộp,140000,1,140000,0,140000,0,140000,0,140000,0
0006-Bao cao su Jex Jell Rich 8 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4973210020006,4973210020006,Có,140000,,,250000,,,Hộp,140000,1,140000,0,140000,0,140000,0,140000,0
0068-Bao cao su Kochou  0.02 set 6 cái,Sản phẩm thường,Dụng Cụ Y Khoa,4973210020068,4973210020068,Có,150000,165000,160000,250000,165000,170000,Cái,150000,4,150000,0,150000,0,150000,0,150000,0
Bao cao su Sagami 0.02mm set 5 cái ,Sản phẩm thường,Dụng Cụ Y Khoa,4974234619245,4974234619245,Có,215000,230000,225000,300000,230000,235000,Cái,215000,0,215000,0,215000,0,215000,0,215000,0
Bộ sơ cua máy Masage Omron,Sản phẩm thường,Dụng Cụ Y Khoa,4975479173103,4975479173103,Có,155000,185000,185000,300000,185000,200000,cái,155000,0,155000,0,155000,0,155000,0,155000,0
Miếng dán sơ cua máy masage Omron,Sản phẩm thường,Dụng Cụ Y Khoa,4975479175459,4975479175459,Có,150000,220000,220000,300000,220000,200000,cái,150000,0,150000,0,150000,0,150000,0,150000,0
Bộ sơ cua máy masage,Sản phẩm thường,Dụng Cụ Y Khoa,4975479181344,4975479181344,Có,150000,180000,180000,250000,180000,190000,cái,150000,0,150000,1,150000,0,150000,0,150000,0
Máy masage Omron HV-F021W,Sản phẩm thường,Dụng Cụ Y Khoa,4975479405143,4975479405143,Có,750000,750000,750000,1100,750000,720000,cái,750000,0,750000,0,750000,0,750000,0,750000,0
Que thử thai Omron  loại 2 cây,Sản phẩm thường,Dụng Cụ Y Khoa,4975479406522,4975479406522,Có,180000,210000,190000,100000,210000,215000,Cái,180000,2,180000,2,180000,1,180000,0,180000,0
Que thử thai Omron loại 1 cây,Sản phẩm thường,Dụng Cụ Y Khoa,4975479406539,4975479406539,Có,130000,150000,140000,200000,150000,155000,Cái,130000,3,130000,3,130000,0,130000,0,130000,0
Cân sức khỏe OMRON màu bạc ,Sản phẩm thường,Dụng Cụ Y Khoa,4975479407802,4975479407802,Có,550000,600000,580000,850000,600000,620000,cái,550000,0,550000,0,550000,0,550000,0,550000,0
Cân sức khỏe Omron xanh ngọc,Sản phẩm thường,Dụng Cụ Y Khoa,4975479407888,4975479407888,Có,550000,600000,580000,850000,600000,620000,cái,550000,0,550000,0,550000,0,550000,0,550000,0
Cân sức khỏe Omron Hồng,Sản phẩm thường,Dụng Cụ Y Khoa,4975479407895,4975479407895,Có,550000,600000,580000,850000,600000,620000,cái,550000,0,550000,0,550000,0,550000,0,550000,0
Máy huyết áp OMRON,Sản phẩm thường,Dụng Cụ Y Khoa,4975479409547,4975479409547,Có,700000,850000,850000,1050,850000,850000,cái,700000,0,700000,0,700000,0,700000,0,700000,0
Máy đo huyết áp bắp tay Omron-7120,Sản phẩm thường,Dụng Cụ Y Khoa,4975479409653,4975479409653,Có,950000,1150,1150,1450,1150,1200,Cái,950000,0,950000,0,950000,0,950000,0,950000,0
Máy đo huyết áp Omron HEM 7282T,Sản phẩm thường,Dụng Cụ Y Khoa,4975479416972,4975479416972,Có,2400,2650,2650,3000,2650,2650,Cái,2400,0,2400,0,2400,0,2400,0,2400,0
4458-Nhiệt kế Omron đo tai  MC-510,Sản phẩm thường,Dụng Cụ Y Khoa,4975479424458,4975479424458,Có,250000,165000,160000,400000,165000,170000,Cái,250000,0,250000,0,250000,0,250000,0,250000,0
Máy masage Omron HV-F125,Sản phẩm thường,Dụng Cụ Y Khoa,4975479507038,4975479507038,Có,1080,920000,920000,1300,920000,900000,cái,1080,0,1080,0,1080,0,1080,0,1080,0
