Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Túi giữ nhiệt Uniqlo,Sản phẩm thường,Hàng gia dụng,0020021,0020021,Có,100000,115000,115000,150000,115000,120000,Cái,100000,0,100000,0,100000,0,100000,0,100000,0
Cây xịt phòng sơ cua,Sản phẩm thường,Hàng gia dụng,010101,010101,Có,80000,75000,75000,70000,75000,70000,cái,80000,0,80000,0,80000,0,80000,0,80000,0
Pin Panasonic 3A set 2,Sản phẩm thường,Hàng gia dụng,013,013,Có,5000,6500,6500,10000,6500,70000,Set (30),5000,59,5000,16,5000,0,5000,0,5000,0
Ổ cắm  điện Toshiba DC1262E,Sản phẩm thường,Hàng gia dụng,013397,013397,Có,100000,115000,115000,150000,115000,120000,Cái,100000,25,100000,5,100000,1,100000,0,100000,0
2308v- Vá inox lớn ,Sản phẩm thường,Hàng gia dụng,016017112308,016017112308,Có,160000,175000,175000,250000,175000,185000,Cái,160000,0,160000,0,160000,0,160000,0,160000,0
Bộ chiết mỹ phẩm Silcot,Sản phẩm thường,Hàng gia dụng,018361,018361,Có,20000,30000,30000,60000,30000,32000,Set,20000,0,20000,0,20000,0,20000,0,20000,0
9620 Găng tay cao su Nice Hand ,Sản phẩm thường,Hàng gia dụng,019620,019620,Có,70000,80000,75000,100000,80000,82000,cái,70000,91,70000,90,70000,3,70000,0,70000,0
6627- Ly gốm Sianature,Sản phẩm thường,Hàng gia dụng,020211056627,020211056627,Có,92000,105000,105000,150000,105000,110000,Cái,92000,0,92000,0,92000,0,92000,0,92000,0
Đũa Nhật có miếng kê ,Sản phẩm thường,Hàng gia dụng,0252,0252,Có,30000,35000,35000,45000,35000,37000,Cặp ,30000,0,30000,1,30000,0,30000,0,30000,0
5581 Tăm răng,Sản phẩm thường,Hàng gia dụng,025581,025581,Có,45000,50000,50000,65000,50000,45000,gói,45000,0,45000,0,45000,0,45000,0,45000,0
Bình nước Uniqlo 0.3L,Sản phẩm thường,Hàng gia dụng,0503,0503,Có,100000,120000,120000,150000,120000,120000,chai,100000,0,100000,0,100000,0,100000,0,100000,0
Khóa dây,Sản phẩm thường,Hàng gia dụng,100112,100112,Có,50000,120000,120000,250000,120000,200000,Cái,50000,0,50000,0,50000,0,50000,0,50000,0
6159-Nắp chống văng dầu IKEA,Sản phẩm thường,Hàng gia dụng,10165849206159,10165849206159,Có,78000,90000,90000,150000,90000,95000,Cái,78000,0,78000,0,78000,0,78000,0,78000,0
1075-Muỗng múc cơm Mini,Sản phẩm thường,Hàng gia dụng,1075,1075,Có,20000,25000,25000,30000,25000,25000,cái,20000,0,20000,0,20000,0,20000,0,20000,0
Săm xe đạp Panasonic,Sản phẩm thường,Hàng gia dụng,1083,1083,Có,200000,230000,230000,280000,230000,235000,Cái,200000,19,200000,5,200000,0,200000,0,200000,0
9761-Khay gọt rau củ,Sản phẩm thường,Hàng gia dụng,109761,109761,Có,28000,33000,33000,40000,33000,35000,cái,28000,8,28000,0,28000,0,28000,0,28000,0
Vá Tfal - Dụng cụ bếp,Sản phẩm thường,Hàng gia dụng,111111,111111,Có,100000,100000,100000,150000,100000,100000,Cái,100000,4,100000,0,100000,0,100000,0,100000,0
Hộp Hoa Văn Đựng Đồ Ăn,Sản phẩm thường,Hàng gia dụng,12241,12241,Có,70000,78000,75000,110000,78000,80000,Hộp,70000,4,70000,0,70000,0,70000,0,70000,0
2290-Bàn chải ĐR em bé 6-12 tuổi,Sản phẩm thường,Hàng gia dụng,1252290,1252290,Có,55000,60000,60000,80000,60000,62000,Cây,55000,0,55000,0,55000,0,55000,0,55000,0
1300v-Dao gọt trái cây loại ,Sản phẩm thường,Hàng gia dụng,1411300,1411300,Có,30000,35000,35000,45000,35000,40000,Cái,30000,0,30000,0,30000,0,30000,0,30000,0
Bàn chải Lion Between ,Sản phẩm thường,Hàng gia dụng,142713,142713,Có,14000,33000,33000,40000,33000,35000,cái,14000,0,14000,0,14000,0,14000,0,14000,0
5247-Móc khóa ,Sản phẩm thường,Hàng gia dụng,15247,15247,Có,35000,40000,40000,50000,40000,45000,Cái,35000,0,35000,0,35000,0,35000,0,35000,0
Dây đeo cổ,Sản phẩm thường,Hàng gia dụng,16000112,16000112,Có,20000,100000,100000,150000,100000,100000,cái,20000,0,20000,0,20000,0,20000,0,20000,0
2494-Túi zip đựng thực phẩm,Sản phẩm thường,Hàng gia dụng,182494,182494,Có,32450,62000,62000,45000,62000,73000,Túi,32450,0,32450,0,32450,0,32450,0,32450,0
1828-Đồ bật nắp rượu Ikea,Sản phẩm thường,Hàng gia dụng,1828,1828,Có,230000,250000,250000,350000,250000,260000,cái,230000,0,230000,0,230000,0,230000,0,230000,0
19720-Muỗng cơm Ikea,Sản phẩm thường,Hàng gia dụng,19720,19720,Có,45000,50000,50000,70000,50000,55000,cái,45000,11,45000,13,45000,13,45000,0,45000,0
6011-Bàn chải ĐR Dental Pro ,Sản phẩm thường,Hàng gia dụng,206011,206011,Có,33000,50000,50000,80000,50000,55000,cái,33000,0,33000,0,33000,0,33000,0,33000,0
