Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Miếng lót bếp từ 21cm,Sản phẩm thường,Hàng gia dụng nhóm 1, 231639, 231639,Có,150000,165000,165000,250000,165000,180000,cái,150000,0,150000,0,150000,0,150000,0,150000,0
Nồi cơm Zojirushi NW-JS18-VD,Sản phẩm thường,Hàng gia dụng nhóm 1, 4974305214010, 4974305214010,Có,8400,8900,8900,11500,8900,9100,Cái,8400,0,8400,0,8400,0,8400,0,8400,0
Bình siêu tốc Peacock,Sản phẩm thường,Hàng gia dụng nhóm 1,0035097,0035097,Có,1500,1650,1650,2000,1650,1680,cái,1500,0,1500,0,1500,0,1500,0,1500,0
9909-Set 4 móc treo đồ TISKEN ,Sản phẩm thường,Hàng gia dụng nhóm 1,00381274229909,00381274229909,Có,170000,185000,180000,280000,185000,190000,Set,170000,2,170000,1,170000,0,170000,0,170000,0
Máy xay sinh tố Tfal BL1301JP,Sản phẩm thường,Hàng gia dụng nhóm 1,010942221555,010942221555,Có,1000,1050,1050,1300,1050,1100,Cái,1000,0,1000,0,1000,0,1000,0,1000,0
Set 6 chén dùng canh Miso ,Sản phẩm thường,Hàng gia dụng nhóm 1,013302550340,013302550340,Có,450000,510000,490000,650000,510000,520000,Hôp,450000,0,450000,2,450000,0,450000,0,450000,0
Set 5 hộp gốm chữ nhật đựng đồ ăn ,Sản phẩm thường,Hàng gia dụng nhóm 1,013302560240,013302560240,Có,370000,430000,410000,550000,430000,440000,Cái,370000,7,370000,0,370000,3,370000,0,370000,0
Bộ nồi Tramontina set 9,Sản phẩm thường,Hàng gia dụng nhóm 1,016017102071,016017102071,Có,1100,1500,1500,1900,1500,1650,Set,1100,0,1100,0,1100,0,1100,0,1100,0
Set dao 3 cái Proline ,Sản phẩm thường,Hàng gia dụng nhóm 1,016017119208,016017119208,Có,450000,500000,500000,700000,500000,510000,Set,450000,0,450000,0,450000,0,450000,0,450000,0
Nồi Inox Tramontina 15 lít ,Sản phẩm thường,Hàng gia dụng nhóm 1,016017120242,016017120242,Có,1300,1400,1400,1600,1400,1450,Cái,1300,0,1300,0,1300,0,1300,0,1300,0
Kéo làm bếp set 2 cái ,Sản phẩm thường,Hàng gia dụng nhóm 1,016017124127,016017124127,Có,280000,300000,300000,400000,300000,310000,Set,280000,0,280000,0,280000,0,280000,0,280000,0
Set 3 rổ inox Proline 3PK,Sản phẩm thường,Hàng gia dụng nhóm 1,016017127937,016017127937,Có,1000,1100,1100,1350,1100,1150,Set(3),1000,2,1000,1,1000,3,1000,0,1000,0
Set thau inox Proline 3PK,Sản phẩm thường,Hàng gia dụng nhóm 1,016017137929,016017137929,Có,1000,1100,1100,1350,1100,1150,Set(3),1000,1,1000,1,1000,3,1000,0,1000,0
Dao chặt SEKI ,Sản phẩm thường,Hàng gia dụng nhóm 1,0200002,0200002,Có,230000,250000,290000,300000,250000,255000,Cái,230000,7,230000,7,230000,5,230000,0,230000,0
Kính bơi thể thao,Sản phẩm thường,Hàng gia dụng nhóm 1,020111,020111,Có,270000,295000,290000,350000,295000,300000,cái,270000,15,270000,1,270000,4,270000,0,270000,0
Kính bơi thể thao N,Sản phẩm thường,Hàng gia dụng nhóm 1,0201122,0201122,Có,180000,300000,300000,300000,300000,305000,Cái,180000,1,180000,0,180000,0,180000,0,180000,0
Kính bơi có độ cận thị N,Sản phẩm thường,Hàng gia dụng nhóm 1,0201123,0201123,Có,180000,260000,260000,300000,260000,265000,Cái,180000,0,180000,2,180000,4,180000,0,180000,0
6634-Thố  gốm  hút chân không Sianature ,Sản phẩm thường,Hàng gia dụng nhóm 1,020211056634,020211056634,Có,92000,105000,105000,180000,105000,105000,Cái,92000,0,92000,0,92000,0,92000,0,92000,0
Set 4 hộp sứ tròn đựng đồ ăn ,Sản phẩm thường,Hàng gia dụng nhóm 1,020211062918,020211062918,Có,470000,530000,500000,700000,530000,540000,Hộp,470000,2,470000,0,470000,0,470000,0,470000,0
"Bộ muỗng, nĩa, Kitchen aid",Sản phẩm thường,Hàng gia dụng nhóm 1,024131248155,024131248155,Có,450000,520000,520000,600000,520000,500000,set,450000,0,450000,0,450000,0,450000,0,450000,0
Kệ để chén bát màu đỏ Kitchen aid,Sản phẩm thường,Hàng gia dụng nhóm 1,024131290550,024131290550,Có,1020,1100,1100,1300,1100,1150,cái,1020,0,1020,0,1020,0,1020,0,1020,0
Kệ để chén bát màu đen Kitchen Aid,Sản phẩm thường,Hàng gia dụng nhóm 1,024131290567,024131290567,Có,1020,1120,1120,1300,1120,1150,cái,1020,0,1020,0,1020,0,1020,0,1020,0
Khử mùi xe hơi,Sản phẩm thường,Hàng gia dụng nhóm 1,037000830931,037000830931,Có,250000,300000,300000,380000,300000,300000,cái,250000,0,250000,0,250000,0,250000,0,250000,0
