Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
0075-Thuốc mọc tóc Sato 30ml,Sản phẩm thường,Hóa Mỹ Phẩm,0104987316190075,0104987316190075,Có,109167,125000,120000,200000,125000,130000,Chai(12),109167,6,109167,0,109167,1,109167,0,109167,0
Chanem chance 50ml,Sản phẩm thường,Hóa Mỹ Phẩm,2298413568516,2298413568516,Có,1550,1800,1800,2000,1800,1850,chai,1550,0,1550,0,1550,0,1550,0,1550,0
Viên xả Lenor túi lẻ,Sản phẩm thường,Hóa Mỹ Phẩm,2905,2905,Có,0,30000,30000,20000,30000,30000,Gói,0,0,0,6,0,0,0,0,0,0
Bút kẻ mắt Revlon,Sản phẩm thường,Hóa Mỹ Phẩm,309972692047,309972692047,Có,200000,205000,205000,250000,205000,210000,cái,200000,0,200000,0,200000,0,200000,0,200000,0
Mascara Shiseido,Sản phẩm thường,Hóa Mỹ Phẩm,420000003,420000003,Có,160000,190000,190000,270000,190000,190000,cái,160000,0,160000,0,160000,0,160000,0,160000,0
Dầu gội nhuộm tóc bạc DHC màu nâu,Sản phẩm thường,Hóa Mỹ Phẩm,4511413306888,4511413306888,Có,330000,450000,450000,500000,450000,400000,cây,330000,0,330000,0,330000,0,330000,0,330000,0
"Dầu xả nhuộm , dưỡng tóc DHC",Sản phẩm thường,Hóa Mỹ Phẩm,4511413306895,4511413306895,Có,350000,400000,400000,500000,400000,380000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
7168-Dưỡng mi DHC 3.5ml,Sản phẩm thường,Hóa Mỹ Phẩm,4511413307168,4511413307168,Có,90000,100000,100000,150000,100000,105000,Tuýp,90000,0,90000,0,90000,0,90000,0,90000,0
Dầu xả nhuộm tóc DHC màu đen,Sản phẩm thường,Hóa Mỹ Phẩm,4511413307632,4511413307632,Có,420000,450000,450000,550000,450000,460000,hộp,420000,0,420000,0,420000,0,420000,0,420000,0
Dầu xả nhuộm tóc bạc DHC màu mật ong,Sản phẩm thường,Hóa Mỹ Phẩm,4511413307649,4511413307649,Có,400000,450000,450000,550000,450000,460000,cây,400000,0,400000,0,400000,0,400000,0,400000,0
Dầu xả nhuộm tóc DHC màu nâu nhạt,Sản phẩm thường,Hóa Mỹ Phẩm,4511413307656,4511413307656,Có,550000,570000,565000,650000,570000,575000,hộp,550000,0,550000,0,550000,0,550000,0,550000,0
9025-Tinh chất Super Collagen Supreme DHC 50ml,Sản phẩm thường,Hóa Mỹ Phẩm,4511413309025,4511413309025,Có,420000,440000,440000,750000,440000,445000,Chai,420000,0,420000,0,420000,0,420000,0,420000,0
Xà phòng rửa mặt trà xanh DHC Green Tea Soap 80g,Sản phẩm thường,Hóa Mỹ Phẩm,4511413518380,4511413518380,Có,137400,155000,150000,220000,155000,160000,Hộp,137400,0,137400,0,137400,0,137400,0,137400,0
SRM trị mụn DHC Acne Control Fresh Foaming Wash,Sản phẩm thường,Hóa Mỹ Phẩm,4511413523872,4511413523872,Có,191400,215000,210000,310000,215000,220000,hộp,191400,2,191400,0,191400,0,191400,0,191400,0
8944-Viên uống Dhc trắng da,Sản phẩm thường,Hóa Mỹ Phẩm,4511413608944,4511413608944,Có,120000,135000,130000,200000,135000,140000,Gói,120000,10,120000,0,120000,6,120000,0,120000,0
1639-Gel vuốt tóc nam Gatsby Spiky Edge,Sản phẩm thường,Hóa Mỹ Phẩm,45131639,45131639,Có,110000,117000,115000,150000,117000,120000,Hộp,110000,10,110000,4,110000,0,110000,0,110000,0
1646-Gel vuốt tóc nam Gatsby Moving Rubber,Sản phẩm thường,Hóa Mỹ Phẩm,45131646,45131646,Có,110000,117000,115000,150000,117000,120000,Hộp,110000,3,110000,4,110000,13,110000,0,110000,0
1653-Gel vuốt tóc nam Gatsby Loose Shuffle,Sản phẩm thường,Hóa Mỹ Phẩm,45131653,45131653,Có,110000,117000,115000,150000,117000,120000,Hộp,110000,0,110000,0,110000,2,110000,0,110000,0
1660-Gel vuốt tóc nam Gatsby Air Rise 80g,Sản phẩm thường,Hóa Mỹ Phẩm,45131660,45131660,Có,110000,117000,115000,150000,117000,120000,Hộp,110000,0,110000,0,110000,0,110000,0,110000,0
1677-Gel vuốt tóc nam Gatsby Grunge Mat,Sản phẩm thường,Hóa Mỹ Phẩm,45131677,45131677,Có,110000,117000,115000,150000,117000,120000,Hộp,110000,2,110000,0,110000,1,110000,0,110000,0
7260-Sữa tắm cho da nhạy cảm Pharmaact 600ml,Sản phẩm thường,Hóa Mỹ Phẩm,4513574007260,4513574007260,Có,100000,110000,105000,180000,110000,115000,Chai(16),100000,17,100000,8,100000,13,100000,0,100000,0
1663-Dầu gội Nam Tonic Bạc Hà 600ml,Sản phẩm thường,Hóa Mỹ Phẩm,4513574011663,4513574011663,Có,70000,85000,80000,135000,85000,90000,Chai(16),70000,17,70000,9,70000,8,70000,0,70000,0
2752-Dầu gội con ngựa 600ml,Sản phẩm thường,Hóa Mỹ Phẩm,4513574012752,4513574012752,Có,110000,120000,115000,200000,120000,125000,Chai(16),110000,9,110000,9,110000,11,110000,0,110000,0
2769-Dầu xả con ngựa,Sản phẩm thường,Hóa Mỹ Phẩm,4513574012769,4513574012769,Có,110000,120000,115000,200000,120000,125000,Chai (16),110000,11,110000,17,110000,8,110000,0,110000,0
3049-Dầu gội xả Scalp Care Beaua 700ml,Sản phẩm thường,Hóa Mỹ Phẩm,4513574013049,4513574013049,Có,170000,180000,180000,300000,180000,185000,Chai(12),170000,0,170000,0,170000,0,170000,0,170000,0
Dầu gội nam Scalp Care Beaua 400ml,Sản phẩm thường,Hóa Mỹ Phẩm,4513574013674,4513574013674,Có,130000,140000,135000,200000,140000,145000,Chai(24),130000,7,130000,3,130000,7,130000,0,130000,0
4152-Dầu gội Salon link,Sản phẩm thường,Hóa Mỹ Phẩm,4513574014152,4513574014152,Có,155000,165000,160000,250000,165000,170000,Chai(10),155000,7,155000,2,155000,6,155000,0,155000,0
4169-Dầu xả Salon link Extra ,Sản phẩm thường,Hóa Mỹ Phẩm,4513574014169,4513574014169,Có,160000,170000,165000,250000,170000,175000,Chai(10),160000,6,160000,8,160000,9,160000,0,160000,0
