Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Nước hoa BVLGARI Roma AQVA,Sản phẩm thường,KCN - Nước hoa,0783320490026,0783320490026,Có,1150,1500,1500,1750,1500,1520,chai,1150,1,1150,0,1150,0,1150,0,1150,0
Nước hoa Elizabeth Arden 50ml,Sản phẩm thường,KCN - Nước hoa,085805144890,085805144890,Có,850000,950000,950000,1050,950000,950000,chai,850000,0,850000,0,850000,0,850000,0,850000,0
Nước Hoa CK nam 100ml ( đen),Sản phẩm thường,KCN - Nước hoa,088300104406,088300104406,Có,695000,730000,730000,850000,730000,750000,chai,695000,0,695000,0,695000,0,695000,0,695000,0
CC Sugao hồng,Sản phẩm thường,KCN - Nước hoa,114346780,114346780,Có,190000,200000,200000,280000,200000,205000,tuýp,190000,2,190000,2,190000,4,190000,0,190000,0
DD Sugao vàng ,Sản phẩm thường,KCN - Nước hoa,1150809,1150809,Có,205000,215000,210000,350000,215000,215000,tuýp,205000,0,205000,2,205000,4,205000,0,205000,0
AN PERFECT UV SUNSCREEN SKINCARE MILK 60ml,Sản phẩm thường,KCN - Nước hoa,14573,14573,Có,417000,430000,430000,580000,430000,440000,Chai,417000,0,417000,0,417000,0,417000,0,417000,0
AN PERFECT UV SUNSCREEN SKINCARE MILK 20ml,Sản phẩm thường,KCN - Nước hoa,14582,14582,Có,166670,180000,180000,230000,180000,190000,Chai,166670,0,166670,0,166670,0,166670,0,166670,0
Gel chống nắng Anessa SUNSCREEN SKINCARE 90ml,Sản phẩm thường,KCN - Nước hoa,14585,14585,Có,333333,345000,345000,470000,345000,360000,Tuýp,333333,0,333333,0,333333,0,333333,0,333333,0
AN ESSENCE UV SUNSCREEN MILD MILK 60ml,Sản phẩm thường,KCN - Nước hoa,14708,14708,Có,416667,430000,430000,580000,430000,440000,Chai,416667,0,416667,0,416667,0,416667,0,416667,0
AN ESSENCE UV SUNSCREEN MILD MILK 20ml,Sản phẩm thường,KCN - Nước hoa,14709,14709,Có,167000,175000,175000,230000,175000,185000,Chai,167000,0,167000,0,167000,0,167000,0,167000,0
KCN WHITENING UV SUNSCREEN GEL 90ml,Sản phẩm thường,KCN - Nước hoa,14719,14719,Có,333000,345000,345000,470000,345000,360000,Tuýp,333000,0,333000,0,333000,0,333000,0,333000,0
Nước hoa GUCCI Guilty,Sản phẩm thường,KCN - Nước hoa,2298413566116,2298413566116,Có,1400,1700,1700,1950,1700,1700,chai,1400,0,1400,0,1400,0,1400,0,1400,0
Nước hoa Givenchy Trắng,Sản phẩm thường,KCN - Nước hoa,2298413567441,2298413567441,Có,950000,1200,1200,1400,1200,1200,chai,950000,0,950000,0,950000,0,950000,0,950000,0
Nước hoa BLV 100ml đen,Sản phẩm thường,KCN - Nước hoa,2298413567595,2298413567595,Có,1100,1250,1250,1400,1250,1250,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước hoa Chanel Nam Poủ Homme 100ml,Sản phẩm thường,KCN - Nước hoa,2298413567755,2298413567755,Có,2600,2900,2900,3200,2900,2900,chai,2600,0,2600,0,2600,0,2600,0,2600,0
Nước hoa Chanel Oriental Fruity Allure EDT 100ml,Sản phẩm thường,KCN - Nước hoa,2298413568349,2298413568349,Có,2200,2900,2900,3250,2900,2900,chai,2200,0,2200,0,2200,0,2200,0,2200,0
Nước hoa Chanel Allure 100ml,Sản phẩm thường,KCN - Nước hoa,2298413568363,2298413568363,Có,2200,2650,2650,3200,2650,2900,chai,2200,0,2200,0,2200,0,2200,0,2200,0
Nước Hoa Chanel Platium 50ml,Sản phẩm thường,KCN - Nước hoa,2298413568424,2298413568424,Có,1550,1850,1850,2100,1850,1850,chai,1550,0,1550,0,1550,0,1550,0,1550,0
Nước Hoa Chanel Platium Egoist 100ml,Sản phẩm thường,KCN - Nước hoa,2298413568431,2298413568431,Có,2200,2700,2700,3200,2700,2750,chai,2200,0,2200,0,2200,0,2200,0,2200,0
Nước hoa Chanel hồng 100ml,Sản phẩm thường,KCN - Nước hoa,2298413568509,2298413568509,Có,2050,2650,2650,3000,2650,2800,chai,2050,0,2050,0,2050,0,2050,0,2050,0
Nước hoa Chanel Chance 100ml EDT,Sản phẩm thường,KCN - Nước hoa,2298413568523,2298413568523,Có,2300,2700,2700,3000,2700,2600,Chai,2300,0,2300,0,2300,0,2300,0,2300,0
Nước hoa Chanel Bleu,Sản phẩm thường,KCN - Nước hoa,2298413568530,2298413568530,Có,1550,2100,2100,2500,2100,2100,chai,1550,0,1550,0,1550,0,1550,0,1550,0
Nước hoa Dolce Gabbana,Sản phẩm thường,KCN - Nước hoa,2400011480439,2400011480439,Có,1450,1650,1650,1950,1650,1650,Chai,1450,0,1450,0,1450,0,1450,0,1450,0
Nước hoa Chanel Allure,Sản phẩm thường,KCN - Nước hoa,2400016022344,2400016022344,Có,1750,1850,1850,2200,1850,1850,chai,1750,0,1750,0,1750,0,1750,0,1750,0
Nước hoa BLV 100ml xanh dương,Sản phẩm thường,KCN - Nước hoa,2442534724539,2442534724539,Có,1100,1250,1250,1400,1250,1250,chai,1100,0,1100,0,1100,0,1100,0,1100,0
Nước hoa Givenchy 50ml,Sản phẩm thường,KCN - Nước hoa,2449662291919,2449662291919,Có,1050,1200,1200,1350,1200,1200,chai,1050,0,1050,0,1050,0,1050,0,1050,0
Nước hoa CK be,Sản phẩm thường,KCN - Nước hoa,2449662854961,2449662854961,Có,550000,700000,700000,800000,700000,700000,chai,550000,0,550000,0,550000,0,550000,0,550000,0
Nước hoa CK trắng,Sản phẩm thường,KCN - Nước hoa,2449662854985,2449662854985,Có,550000,700000,700000,800000,700000,700000,chai,550000,0,550000,0,550000,0,550000,0,550000,0
Nước hoa Chanel hồng,Sản phẩm thường,KCN - Nước hoa,3145291564200,3145291564200,Có,2200,2450,2450,2550,2450,23500,chai,2200,0,2200,0,2200,0,2200,0,2200,0
Nước hoa Chanel N05 100ml ,Sản phẩm thường,KCN - Nước hoa,3145891053401,3145891053401,Có,2800,3050,3050,3400,3050,3150,chai,2800,0,2800,0,2800,0,2800,0,2800,0
Nước hoa Chanel N5 50ml,Sản phẩm thường,KCN - Nước hoa,3145891054552,3145891054552,Có,1900,2100,2100,2500,2100,2200,chai,1900,0,1900,0,1900,0,1900,0,1900,0
Nước hoa Chanel N05,Sản phẩm thường,KCN - Nước hoa,3145891054675,3145891054675,Có,2200,2650,2650,3100,2650,2700,chai,2200,0,2200,0,2200,0,2200,0,2200,0
The Body Lotion Chanel No5 200ml,Sản phẩm thường,KCN - Nước hoa,3145891057409,3145891057409,Có,3200,3350,3350,3450,3350,3400,Chai,3200,0,3200,0,3200,0,3200,0,3200,0
Nước Hoa Chanel Bleu 100ml,Sản phẩm thường,KCN - Nước hoa,3145891073607,3145891073607,Có,2800,2950,2950,3500,2950,3100,Chai,2800,0,2800,0,2800,0,2800,0,2800,0
Nước hoa Chanel Bleu 150ml,Sản phẩm thường,KCN - Nước hoa,3145891073706,3145891073706,Có,3300,3450,3450,4000,3450,3500,Chai,3300,0,3300,0,3300,0,3300,0,3300,0
Nước hoa Chanel Allure 50ml,Sản phẩm thường,KCN - Nước hoa,3145891124507,3145891124507,Có,2250,2450,2450,2750,2450,2600,Chai,2250,0,2250,0,2250,0,2250,0,2250,0
Nước hoa Chanel Allure 100ml,Sản phẩm thường,KCN - Nước hoa,3145891124606,3145891124606,Có,2300,2650,2650,3500,2650,2900,chai,2300,0,2300,0,2300,0,2300,0,2300,0
Nước Hoa Chanel COCO De Parfum 60ml,Sản phẩm thường,KCN - Nước hoa,3145891134513,3145891134513,Có,2550,2650,2650,3150,2650,2750,Chai,2550,0,2550,0,2550,0,2550,0,2550,0
Nước hoa Chanel Coco 50ml,Sản phẩm thường,KCN - Nước hoa,3145891136500,3145891136500,Có,2450,2650,2650,3000,2650,2700,Chai,2450,0,2450,0,2450,0,2450,0,2450,0
Nước Hoa Chanel coco đen 100ml,Sản phẩm thường,KCN - Nước hoa,3145891136609,3145891136609,Có,3300,3550,3550,3950,3550,3700,Chai,3300,0,3300,0,3300,0,3300,0,3300,0
Nước Hoa Chanel Nam,Sản phẩm thường,KCN - Nước hoa,3145891144505,3145891144505,Có,1600,1850,1850,2200,1850,1850,chai,1600,0,1600,0,1600,0,1600,0,1600,0
Nước hoa Chanel Cristalle 100ml,Sản phẩm thường,KCN - Nước hoa,3145891154603,3145891154603,Có,2200,2600,2600,3000,2600,2650,chai,2200,0,2200,0,2200,0,2200,0,2200,0
Nước hoa Chanel Coco MadeMoiselle 50ml,Sản phẩm thường,KCN - Nước hoa,3145891163209,3145891163209,Có,1950,2200,2200,2450,2200,2250,chai,1950,0,1950,0,1950,0,1950,0,1950,0
Nước Hoa Chanel Coco MadeMoiselle 50ml,Sản phẩm thường,KCN - Nước hoa,3145891164503,3145891164503,Có,1950,2100,2100,2450,2100,2070,chai,1950,0,1950,0,1950,0,1950,0,1950,0
Nước Hoa Chanel MadeMoiselle 100ml,Sản phẩm thường,KCN - Nước hoa,3145891164602,3145891164602,Có,3700,4100,4100,4350,4100,4150,chai,3700,0,3700,0,3700,0,3700,0,3700,0
