Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
2860-Dao cạo cho phụ nữ  KAI ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,012860,012860,Có,55000,55000,55000,75000,55000,60000,Set,55000,0,55000,0,55000,0,55000,0,55000,0
Bộ set mini Dr Select,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,016222,016222,Có,350000,370000,370000,600000,370000,385000,set,350000,0,350000,0,350000,0,350000,0,350000,0
Kem dưỡng trắng da Shiseido Aqualabel White Up Cream 30g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,01661,01661,Có,160000,230000,230000,230000,230000,240000,hũ ,160000,0,160000,0,160000,0,160000,0,160000,0
Dưỡng da Aqualabel màu xanh 30g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,016612,016612,Có,160000,180000,180000,250000,180000,230000,hũ,160000,0,160000,0,160000,0,160000,0,160000,0
Kem dưỡng Shiseido Aqualabel Moisture Cream 30g (da khô-thường),Sản phẩm thường,Mỹ Phẩm - DC trang điểm,01662,01662,Có,160000,230000,230000,230000,230000,235000,Hũ,160000,0,160000,0,160000,0,160000,0,160000,0
Kem dưỡng Shiseido Aqualabel Cream Ex 25g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,01663,01663,Có,160000,175000,175000,230000,175000,180000,hũ,160000,0,160000,0,160000,0,160000,0,160000,0
2087-SRM Perfect Whip collagen hồng (Hàng cty),Sản phẩm thường,Mỹ Phẩm - DC trang điểm,01872,01872,Có,83786,86000,85000,135000,86000,87000,Chai(6x8),83786,29,83786,15,83786,9,83786,0,83786,0
9300-Mascara DHC,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,039300,039300,Có,120000,150000,150000,100000,150000,160000,Cây,120000,0,120000,0,120000,0,120000,0,120000,0
9311-Chì chải mi Kai,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,039311,039311,Có,120000,150000,150000,350000,150000,180000,Cây,120000,0,120000,0,120000,0,120000,0,120000,0
0389-Trị mụn Dalacin T Gel 10g ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,04987316190389,04987316190389,Có,100000,115000,110000,190000,115000,120000,Tuýp(10),100000,10,100000,8,100000,18,100000,0,100000,0
