Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Vớ lẻ ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",00214,00214,Có,50000,55000,55000,60000,55000,57000,Cái,50000,0,50000,0,50000,0,50000,0,50000,0
0259-Thảm Barvalla 60x90cm IKEA,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",00313063220259,00313063220259,Có,500000,550000,550000,750000,550000,570000,Cái,500000,0,500000,0,500000,0,500000,0,500000,0
2192-Khăn tắm BILLSJON 50x100cm ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",003773522192,003773522192,Có,240000,280000,270000,350000,280000,285000,Cái,240000,2,240000,0,240000,0,240000,0,240000,0
Áo gió 2 lớp (H),Sản phẩm thường,"Quần áo - Khăn, tất, thảm",0101011,0101011,Có,650000,700000,700000,800000,700000,720000,Cái,650000,1,650000,0,650000,0,650000,0,650000,0
Bộ Bikini ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",01232,01232,Có,1350,1550,1550,1800,1550,1580,Bộ,1350,0,1350,0,1350,0,1350,0,1350,0
Khẩu trang chống nắng ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",02,02,Có,18000,20000,18000,45000,20000,21000,cái,18000,201,18000,151,18000,194,18000,0,18000,0
Găng tay chống nắng ngắn,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",0251,0251,Có,120000,140000,130000,200000,140000,150000,Cái,120000,19,120000,3,120000,0,120000,0,120000,0
Găng tay nỉ  nữ ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",02511,02511,Có,150000,170000,170000,250000,170000,175000,Cái,150000,2,150000,18,150000,11,150000,0,150000,0
Găng tay nỉ Nam ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",0251122,0251122,Có,150000,170000,170000,250000,170000,175000,cái,150000,0,150000,0,150000,0,150000,0,150000,0
Găng tay chống nắng ngắn (990-1590),Sản phẩm thường,"Quần áo - Khăn, tất, thảm",0253,0253,Có,115000,140000,130000,250000,140000,155000,Cái,115000,8,115000,0,115000,0,115000,0,115000,0
