Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Rượu Sake đen ,Sản phẩm thường,Rượu - Thuốc lá,009411508761,009411508761,Có,900000,950000,950000,1200,950000,950000,chai,900000,0,900000,0,900000,0,900000,0,900000,0
Bia Asahi mini nguyên thùng,Sản phẩm thường,Rượu - Thuốc lá,04901004055606,04901004055606,Có,530000,580000,580000,800000,580000,600000,thùng,530000,0,530000,0,530000,0,530000,0,530000,0
0457-Chivas 21 năm cổ Founded 1801,Sản phẩm thường,Rượu - Thuốc lá,08700000457,08700000457,Có,2250,3300,3300,3200,3300,3300,Chai,2250,7,2250,4,2250,4,2250,0,2250,0
Rượu vang Rock Falls,Sản phẩm thường,Rượu - Thuốc lá,098009566061,098009566061,Có,400000,410000,410000,500000,410000,430000,Chai,400000,0,400000,0,400000,0,400000,0,400000,0
Rượu vang Rock Falls ,Sản phẩm thường,Rượu - Thuốc lá,098009585949,098009585949,Có,400000,410000,410000,500000,410000,430000,Chai,400000,0,400000,0,400000,0,400000,0,400000,0
9753-Rượu JINJIN GIN 90ml 47%,Sản phẩm thường,Rượu - Thuốc lá,159753,159753,Có,220000,250000,235000,350000,250000,255000,Chai,220000,12,220000,4,220000,6,220000,0,220000,0
Rượu Sake chuột sứ vàng 720ml,Sản phẩm thường,Rượu - Thuốc lá,20201,20201,Có,1250,1300,1280,1650,1300,1320,chai(12),1250,0,1250,1,1250,0,1250,0,1250,0
Rượu Sake chuột sứ xanh 720ml,Sản phẩm thường,Rượu - Thuốc lá,20202,20202,Có,900000,950000,930000,1200,950000,980000,chai(12),900000,10,900000,4,900000,4,900000,0,900000,0
Rượu Ballantine's 21,Sản phẩm thường,Rượu - Thuốc lá,2400012279247,2400012279247,Có,2500,2650,2650,3000,2650,2700,chai,2500,0,2500,0,2500,0,2500,0,2500,0
Rượu Re'my Martin XO ,Sản phẩm thường,Rượu - Thuốc lá,3024480004522,3024480004522,Có,3300,3450,3450,3850,3450,3500,Chai,3300,0,3300,0,3300,0,3300,0,3300,0
Rượu Champangne MOET vàng,Sản phẩm thường,Rượu - Thuốc lá,3185370001233,3185370001233,Có,1300,1350,1350,1550,1350,1400,Chai (6),1300,0,1300,0,1300,0,1300,0,1300,0
Champagne MOET hồng,Sản phẩm thường,Rượu - Thuốc lá,3185370061503,3185370061503,Có,1300,1350,1350,1550,1350,1400,Chai (6),1300,0,1300,0,1300,0,1300,0,1300,0
Rượu Martell XO,Sản phẩm thường,Rượu - Thuốc lá,3219820003703,3219820003703,Có,4900,5100,5100,5900,5100,5150,Chai,4900,0,4900,0,4900,0,4900,0,4900,0
Rượu Martell Chanteloup ,Sản phẩm thường,Rượu - Thuốc lá,3219820004359,3219820004359,Có,9000,9200,9200,10500,9200,9350,Chai,9000,0,9000,0,9000,0,9000,0,9000,0
Hennessy very Special 700ml,Sản phẩm thường,Rượu - Thuốc lá,3245990250203,3245990250203,Có,950000,980000,970000,1250,980000,1000,Chai,950000,1,950000,0,950000,0,950000,0,950000,0
Rượu Hennessy limited 700ml,Sản phẩm thường,Rượu - Thuốc lá,3245995960015,3245995960015,Có,1030,1200,1200,1400,1200,1200,Chai,1030,0,1030,1,1030,0,1030,0,1030,0
Rượu Sake  vảy vàng Jonsen 1.8L,Sản phẩm thường,Rượu - Thuốc lá,4512437120016,4512437120016,Có,500000,550000,550000,750000,550000,560000,Chai (6),500000,0,500000,0,500000,0,500000,0,500000,0
"Rượu Sake hoa cúc  hũ cối 1,8 L",Sản phẩm thường,Rượu - Thuốc lá,4512437120115,4512437120115,Có,1150,1200,1180,1400,1200,1250,Chai(6),1150,0,1150,0,1150,0,1150,0,1150,0
