Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Son Visee PK866,Sản phẩm thường,SKII-Dior-Shu-Son, 4971710478730, 4971710478730,Có,130000,150000,150000,180000,150000,155000,Cây,130000,0,130000,0,130000,0,130000,0,130000,0
Tẩy trang SKII hũ nhỏ 15g,Sản phẩm thường,SKII-Dior-Shu-Son,016,016,Có,90000,150000,150000,100000,150000,150000,hũ,90000,0,90000,0,90000,0,90000,0,90000,0
Mặt nạ SKII,Sản phẩm thường,SKII-Dior-Shu-Son,0161,0161,Có,120000,150000,150000,300000,150000,150000,cái,120000,2,120000,0,120000,5,120000,0,120000,0
Mặt nạ SKII trắng da,Sản phẩm thường,SKII-Dior-Shu-Son,016112,016112,Có,120000,170000,170000,420000,170000,180000,Cái,120000,15,120000,8,120000,4,120000,0,120000,0
6113-Mặt nạ SKII Nâng cơ 3D,Sản phẩm thường,SKII-Dior-Shu-Son,016113,016113,Có,530000,545000,540000,600000,545000,550000,Cái,530000,6,530000,0,530000,0,530000,0,530000,0
Nước Thần SKII Facial Treatment Essence 30ml,Sản phẩm thường,SKII-Dior-Shu-Son,0164,0164,Có,450000,500000,500000,600000,500000,500000,chai,450000,0,450000,0,450000,0,450000,0,450000,0
Hũ kem dưỡng SKII 15g,Sản phẩm thường,SKII-Dior-Shu-Son,0165,0165,Có,400000,550000,550000,550000,550000,550000,hũ,400000,0,400000,0,400000,0,400000,0,400000,0
Hũ kem dưỡng mắt SKII dùng thử ,Sản phẩm thường,SKII-Dior-Shu-Son,016521,016521,Có,1000,100000,100000,150000,100000,100000,Hũ,1000,0,1000,0,1000,0,1000,0,1000,0
Nước hoa hồng SKII 30ml,Sản phẩm thường,SKII-Dior-Shu-Son,0165432,0165432,Có,1000,150000,150000,150000,150000,150000,Chai,1000,0,1000,0,1000,0,1000,0,1000,0
Bút chì kẻ mắt Shu Uemura ,Sản phẩm thường,SKII-Dior-Shu-Son,1002,1002,Có,650000,675000,670000,780000,675000,680000,Cây,650000,0,650000,0,650000,0,650000,0,650000,0
Sữa rửa mặt SKII 20g,Sản phẩm thường,SKII-Dior-Shu-Son,1581,1581,Có,80000,150000,150000,150000,150000,150000,tuýp,80000,0,80000,0,80000,0,80000,0,80000,0
Set SKII mini,Sản phẩm thường,SKII-Dior-Shu-Son,16000001,16000001,Có,900000,1000,1000,1300,1000,1050,set,900000,0,900000,0,900000,0,900000,0,900000,0
Set SKII mini 3 món,Sản phẩm thường,SKII-Dior-Shu-Son,160000012,160000012,Có,450000,520000,500000,750000,520000,550000,Set,450000,0,450000,0,450000,0,450000,0,450000,0
Son Kanebo - Kose,Sản phẩm thường,SKII-Dior-Shu-Son,1600015,1600015,Có,132000,160000,160000,50000,160000,165000,cây,132000,36,132000,0,132000,0,132000,0,132000,0
Set SKII special travel 4 món ,Sản phẩm thường,SKII-Dior-Shu-Son,1600021,1600021,Có,900000,1050,1050,1300,1050,1070,Set,900000,0,900000,0,900000,0,900000,0,900000,0
Tẩy trang shu 50ml,Sản phẩm thường,SKII-Dior-Shu-Son,1603322,1603322,Có,10000,265000,265000,300000,265000,270000,chai,10000,2,10000,0,10000,0,10000,0,10000,0
Nước hoa hồng Shu,Sản phẩm thường,SKII-Dior-Shu-Son,16033221,16033221,Có,10000,400000,400000,500000,400000,400000,chai,10000,0,10000,0,10000,0,10000,0,10000,0
Set SKII  mini travel ,Sản phẩm thường,SKII-Dior-Shu-Son,16161,16161,Có,1000,100000,100000,130000,100000,110000,Set,1000,0,1000,0,1000,0,1000,0,1000,0
Son Revlon,Sản phẩm thường,SKII-Dior-Shu-Son,166000006,166000006,Có,100000,150000,150000,200000,150000,150000,cây,100000,0,100000,0,100000,0,100000,0,100000,0
Son Kate ,Sản phẩm thường,SKII-Dior-Shu-Son,243152,243152,Có,150000,170000,170000,280000,170000,175000,Cây,150000,21,150000,2,150000,5,150000,0,150000,0
Son EXCEL Lip Care Oil,Sản phẩm thường,SKII-Dior-Shu-Son,310010,310010,Có,170000,185000,180000,450000,185000,190000,cây,170000,0,170000,4,170000,4,170000,0,170000,0
