Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Set truyền giảm cân Nhật bản ,Sản phẩm thường,Thuốc - TPCN,0104987447317853,0104987447317853,Có,1300,1600,1500,2500,1600,1650,Set,1300,0,1300,1,1300,1,1300,0,1300,0
Viên dầu nghệ  Nano Ukone,Sản phẩm thường,Thuốc - TPCN,0110002,0110002,Có,1150,1220,1200,1400,1220,1240,Hộp(10),1150,4,1150,3,1150,6,1150,0,1150,0
5567-TPCN bổ sung Vitamin E 200mg 100 viên Eisai,Sản phẩm thường,Thuốc - TPCN,0114987028225567,0114987028225567,Có,350000,380000,375000,500000,380000,390000,Hộp,350000,3,350000,2,350000,2,350000,0,350000,0
6270-Viên uống trị tiểu đường Actos 15mg ,Sản phẩm thường,Thuốc - TPCN,0114987123136270,0114987123136270,Có,185000,220000,210000,300000,220000,230000,Vỉ ( 10x10),185000,20,185000,19,185000,2,185000,0,185000,0
8333- Thuốc điều trị dạ dày HP BONOSAP,Sản phẩm thường,Thuốc - TPCN,0114987123158333,0114987123158333,Có,1800,1880,1850,2350,1880,1900,Hộp,1800,4,1800,1,1800,2,1800,0,1800,0
3011-Viên uống trắng da trị nám Hisamitsu 80 viên,Sản phẩm thường,Thuốc - TPCN,0114987188493011,0114987188493011,Có,900000,940000,930000,1250,940000,950000,Hộp,900000,3,900000,2,900000,2,900000,0,900000,0
4127-Thuốc điều trị Gout 100 viên Teijin,Sản phẩm thường,Thuốc - TPCN,0114987294394127,0114987294394127,Có,1300,1380,1350,1650,1380,1400,Hộp,1300,4,1300,4,1300,0,1300,0,1300,0
0518-Viên uống trắng da trị nám 100mg 120 viên Chosei,Sản phẩm thường,Thuốc - TPCN,0114987792360518,0114987792360518,Có,700000,750000,730000,980000,750000,770000,Hộp,700000,3,700000,3,700000,0,700000,0,700000,0
0132-Thuốc nhỏ mắt Sancoba 0.02% 5ml,Sản phẩm thường,Thuốc - TPCN,04987084000132,04987084000132,Có,30500,36000,34000,75000,36000,38000,chai(10),30500,19,30500,12,30500,18,30500,0,30500,0
3071-Thuốc sức thẹo Gentacin 10g ,Sản phẩm thường,Thuốc - TPCN,04987120263071,04987120263071,Có,44000,55000,50000,100000,55000,60000,Tuýp,44000,13,44000,13,44000,13,44000,0,44000,0
2122 - Tinh chất tỏi tăng sức đề kháng 20ml F50,Sản phẩm thường,Thuốc - TPCN,04987123502122,04987123502122,Có,37200,42000,40000,70000,42000,45000,Ống (5x10),37200,5,37200,0,37200,2,37200,0,37200,0
Vỉ 10 viên đặt phụ khoa Nhật bản Mochida 0.5mg,Sản phẩm thường,Thuốc - TPCN,04987224016204,04987224016204,Có,180000,195000,190000,250000,195000,200000,Vỉ (10),180000,9,180000,14,180000,5,180000,0,180000,0
4454-Vỉ thuốc tránh thai Bayer Triquilar 28 ngày,Sản phẩm thường,Thuốc - TPCN,04987341304454,04987341304454,Có,350000,365000,360000,500000,365000,370000,vỉ ( 10),350000,3,350000,16,350000,5,350000,0,350000,0
8997-Thuốc bôi trị nấm da Taon Cream 1% 10g,Sản phẩm thường,Thuốc - TPCN,04987376588997,04987376588997,Có,290000,305000,300000,350000,305000,310000,tuýp(20),290000,13,290000,23,290000,5,290000,0,290000,0
Vỉ 6 viên đặt phụ khoa 100mg [F],Sản phẩm thường,Thuốc - TPCN,04987431300403,04987431300403,Có,145000,170000,165000,350000,170000,175000,vỉ (20),145000,26,145000,0,145000,3,145000,0,145000,0
2994-Đông trùng hạ thảo gói Ogaland 90 viên,Sản phẩm thường,Thuốc - TPCN,052994,052994,Có,150000,160000,155000,250000,160000,165000,Gói ,150000,0,150000,0,150000,0,150000,0,150000,0
0017-King Fucoidan Sale,Sản phẩm thường,Thuốc - TPCN,130017,130017,Có,3000,3200,3200,3500,3200,3200,Hộp,3000,0,3000,0,3000,0,3000,0,3000,0
Super Lutein Bổ Mắt MIRTO+,Sản phẩm thường,Thuốc - TPCN,130018,130018,Có,3200,,,3600,,,Lọ,3200,1,3200,1,3200,1,3200,0,3200,0
7768-Transamin 500mg mới 100 viên,Sản phẩm thường,Thuốc - TPCN,14987081227768,14987081227768,Có,740000,765000,755000,1000,765000,770000,Hộp,740000,0,740000,0,740000,0,740000,0,740000,0
4933-Viên uống Vitamin C Cinal 100 viên ,Sản phẩm thường,Thuốc - TPCN,14987087034933,14987087034933,Có,270000,310000,300000,400000,310000,320000,Hộp,270000,0,270000,0,270000,0,270000,0,270000,0
Alpha Fresh 500ml,Sản phẩm thường,Thuốc - TPCN,160010,160010,Có,800000,800000,800000,1100,800000,850000,Chai,800000,0,800000,0,800000,0,800000,0,800000,0
Fucoidan Umi no Shizuku 120v,Sản phẩm thường,Thuốc - TPCN,161533,161533,Có,6300,6550,6500,7500,6550,6600,hộp,6300,6,6300,3,6300,6,6300,0,6300,0
