Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Táo Jazz Mỹ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00001,00001,Có,72222,230000,230000,110000,230000,235000,Kg,72222,0,72222,0,72222,0,72222,0,72222,0
Hộp Táo 3 Màu NHật (6 trái),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),000011,000011,Có,750000,850000,850000,1050,850000,850000,Hộp,750000,0,750000,0,750000,0,750000,0,750000,0
Nho Xanh Nam Phi ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),000015,000015,Có,255555,,,350000,,,Kg(4.5),255555,0,255555,1,255555,0,255555,0,255555,0
Hồng giòn  túi 2 trái Nhật ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),000030,000030,Có,250000,280000,280000,350000,280000,290000,Gói,250000,0,250000,0,250000,0,250000,0,250000,0
Cá Thu Nhật,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00004,00004,Có,120000,150000,150000,200000,150000,160000,Kg,120000,0,120000,0,120000,0,120000,0,120000,0
Sò điệp Hotate Kaibashira,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00005,00005,Có,1050,1180,1150,1350,1180,1200,Kg,1050,7,1050,0,1050,0,1050,0,1050,0
Quýt Úc,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00006,00006,Có,94118,450000,450000,140000,450000,460000,Kg,94118,0,94118,0,94118,0,94118,0,94118,0
Thăn lưng cá hồi,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00007,00007,Có,418000,410000,400000,600000,410000,420000,Kg,418000,1,418000,2,418000,0,418000,0,418000,0
Lê Hàn Quốc Size 22,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00008,00008,Có,80000,100000,95000,120000,100000,105000,Kg,80000,5,80000,3,80000,0,80000,0,80000,0
Táo Mật Vàng Nhật,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00009,00009,Có,800000,860000,850000,980000,860000,870000,Kg(10kg),800000,0,800000,0,800000,0,800000,0,800000,0
Táo Mật Đỏ ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00010,00010,Có,700000,680000,650000,850000,680000,690000,Kg(2.3kg),700000,0,700000,0,700000,0,700000,0,700000,0
