Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Rửa tay khô sát khuẩn dạng gel ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,17165,17165,Có,75000,90000,85000,120000,90000,95000,Chai,75000,0,75000,0,75000,0,75000,0,75000,0
Chai tẩy đa năng Lixil 600ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,2946360508009,2946360508009,Có,60000,70000,65000,100000,70000,75000,chai,60000,34,60000,6,60000,0,60000,0,60000,0
0157-Nước tẩy rửa rỉ sét,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825000157,4516825000157,Có,307230,320000,315000,400000,320000,325000,chai,307230,0,307230,0,307230,0,307230,0,307230,0
Dung dịch tẩy phòng tắm đa năng hương cam Yuwa 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825001420,4516825001420,Có,72270,80000,78000,99000,80000,83000,Chai(24),72270,5,72270,3,72270,2,72270,0,72270,0
Dung dịch tẩy phòng tắm đa năng hương cam Yuwa refill 400ml,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825001437,4516825001437,Có,64970,72000,70000,89000,72000,75000,Chai(24),64970,10,64970,6,64970,5,64970,0,64970,0
1949-Dung dịch tẩy dầu mỡ hương cam,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825001949,4516825001949,Có,58400,65000,63000,80000,65000,68000,Chai(24),58400,5,58400,6,58400,7,58400,0,58400,0
3158-Dung dịch sạch bếp hương mơ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825003158,4516825003158,Có,76230,88000,88000,100000,88000,92000,Chai(24),76230,0,76230,0,76230,0,76230,0,76230,0
Dung dịch tẩy nhà bếp Yuwa hương cam 500ml ,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825004032,4516825004032,Có,101470,113000,110000,140000,113000,115000,Chai(24),101470,6,101470,2,101470,5,101470,0,101470,0
4278-Dung dịch muối giấm làm sạch bếp,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825004278,4516825004278,Có,76230,85000,85000,99000,85000,88000,Chai(24),76230,0,76230,0,76230,0,76230,0,76230,0
4315-Dung dịch tẩy vết bẩn và khử mùi,Sản phẩm thường,Tẩy rửa-Thơm phòng-Diệt côn trùng,4516825004315,4516825004315,Có,100100,110000,110000,90000,110000,115000,Chai(24),100100,0,100100,0,100100,0,100100,0,100100,0
