Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Nho đen Midnight Beauty Mr Grapes Sutherland Mỹ,Sản phẩm thường,Ăn Uống,00003,00003,Có,195122,170000,170000,200000,170000,175000,Kg,195122,3,195122,3,195122,0,195122,0,195122,0
Quýt Túi Vàng Australia,Sản phẩm thường,Ăn Uống,0000888,0000888,Có,106666,120000,,150000,120000,120000,Túi(15),106666,0,106666,0,106666,0,106666,0,106666,0
Bia lẻ 350ml,Sản phẩm thường,Ăn Uống,0001,0001,Có,0,,,40000,,,Lon,0,0,0,0,0,0,0,0,0,0
Bia lẻ 500ml,Sản phẩm thường,Ăn Uống,0002,0002,Có,0,,,50000,,,Lon,0,0,0,0,0,0,0,0,0,0
táo mutsu,Sản phẩm thường,Ăn Uống,00077,00077,Có,0,,,200000,,,trái,0,0,0,0,0,0,0,0,0,0
Trà xanh sales,Sản phẩm thường,Ăn Uống,00089,00089,Có,0,230000,230000,150000,230000,235000,Gói,0,0,0,0,0,0,0,0,0,0
Trà xanh gạo lức (Sales),Sản phẩm thường,Ăn Uống,00092,00092,Có,45000,160000,160000,60000,160000,165000,Gói,45000,0,45000,0,45000,0,45000,0,45000,0
Gói trà xanh nguyên chất,Sản phẩm thường,Ăn Uống,004,004,Có,35000,50000,50000,60000,50000,50000,gói,35000,0,35000,0,35000,0,35000,0,35000,0
Dâu Quạt Nhật,Sản phẩm thường,Ăn Uống,013456,013456,Có,400000,420000,420000,550000,420000,440000,Hộp,400000,0,400000,0,400000,0,400000,0,400000,0
Rắc phô mai xanh Krapt,Sản phẩm thường,Ăn Uống,021000615506,021000615506,Có,100000,110000,110000,130000,110000,110000,Hộp,100000,0,100000,0,100000,0,100000,0,100000,0
Chocolate Party Bucket Maltesers,Sản phẩm thường,Ăn Uống,040000522799,040000522799,Có,255000,270000,270000,380000,270000,280000,hộp,255000,0,255000,0,255000,0,255000,0,255000,0
Trà sữa Kirin 500ml (thùng),Sản phẩm thường,Ăn Uống,062736,062736,Có,528000,580000,580000,780000,580000,570000,Thùng,528000,0,528000,0,528000,0,528000,0,528000,0
Nước tương chấm Yamasa Sashimi 200ml,Sản phẩm thường,Ăn Uống,073899014823,073899014823,Có,53100,62000,60000,80000,62000,65000,Chai(12),53100,24,53100,12,53100,8,53100,0,53100,0
4815-Rong biển cuộn cơm Yaki Nori,Sản phẩm thường,Ăn Uống,074410514815,074410514815,Có,210000,230000,230000,270000,230000,230000,Gói ,210000,0,210000,0,210000,0,210000,0,210000,0
