Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bàn chải đánh răng em bé Topvalu,Sản phẩm thường,Em bé,030606,030606,Có,21031,,,30000,,,cây,21031,0,21031,0,21031,0,21031,0,21031,0
Miếng dán hạ sốt em bé Hiehie (lẻ),Sản phẩm thường,Em bé,10,10,Có,0,,,20000,,,Miếng,0,0,0,0,0,3,0,0,0,0
m,Sản phẩm thường,Em bé,102,102,Có,290000,310000,310000,380000,310000,320000,gói,290000,0,290000,0,290000,0,290000,0,290000,0
Sữa chua bổ sung canxi Calpis 125ml Sale,Sản phẩm thường,Em bé,12777,12777,Có,10000,20000,20000,22000,20000,20000,Hộp,10000,0,10000,0,10000,0,10000,0,10000,0
5123v-Máy hút ráy tai cho bé ,Sản phẩm thường,Em bé,15123,15123,Có,150000,170000,170000,250000,170000,175000,Cái,150000,0,150000,0,150000,0,150000,0,150000,0
Set 3 bàn chải đánh răng em bé Bandai ,Sản phẩm thường,Em bé,185444,185444,Có,92028,,,130000,,,set,92028,0,92028,0,92028,0,92028,0,92028,0
Giấy ướt Moony 80 tờ màu xanh,Sản phẩm thường,Em bé,20,20,Có,23000,25000,24000,35000,25000,26000,Gói(40),23000,0,23000,2,23000,3,23000,0,23000,0
Giấy ướt block đôi,Sản phẩm thường,Em bé,200101,200101,Có,28000,30000,29000,45000,30000,32000,gói,28000,0,28000,0,28000,0,28000,0,28000,0
0004-Set 5 khăn trẻ sơ sinh hình gấu,Sản phẩm thường,Em bé,2002162900004,2002162900004,Có,90000,105000,105000,130000,105000,107000,cái,90000,0,90000,0,90000,0,90000,0,90000,0
0001-Khăn cho bé viền nâu set 6,Sản phẩm thường,Em bé,2002171390001,2002171390001,Có,230000,245000,245000,330000,245000,250000,cái,230000,0,230000,0,230000,0,230000,0,230000,0
Xịt họng nho,Sản phẩm thường,Em bé,2007920001122,2007920001122,Có,131000,140000,140000,180000,140000,145000,chai,131000,0,131000,0,131000,0,131000,0,131000,0
21-Giấy ướt Moony 50 tờ tan trong nước.,Sản phẩm thường,Em bé,21,21,Có,24000,45000,45000,35000,45000,47000,gói(40),24000,0,24000,1,24000,0,24000,0,24000,0
Giấy ướt moony 80 tờ màu hồng ,Sản phẩm thường,Em bé,22,22,Có,24000,27000,26000,35000,27000,28000,Gói ( 10),24000,0,24000,0,24000,0,24000,0,24000,0
Bánh ăn dặm Pigeon sales,Sản phẩm thường,Em bé,260000032,260000032,Có,38000,230000,230000,10000,230000,250000,bộ,38000,145,38000,0,38000,0,38000,0,38000,0
5315-Yếm giấy 12 miếng BabiesRus,Sản phẩm thường,Em bé,2994643035315,2994643035315,Có,110000,120000,120000,165000,120000,125000,cái,110000,0,110000,0,110000,0,110000,0,110000,0
Trứng Kinder Hellokity,Sản phẩm thường,Em bé,3017620737138,3017620737138,Có,100000,110000,110000,130000,110000,110000,cái,100000,0,100000,0,100000,0,100000,0,100000,0
8511-Phô mai Belcube xanh dương 24 viên 125g,Sản phẩm thường,Em bé,3073781068511,3073781068511,Có,89000,92000,92000,110000,92000,93000,Gói,89000,0,89000,0,89000,0,89000,0,89000,0
9771-Phô mai Belcube 15 viên,Sản phẩm thường,Em bé,3073781109771,3073781109771,Có,66000,67000,67000,90000,67000,70000,Gói,66000,0,66000,0,66000,0,66000,0,66000,0
Soup daisy Wakodo 5 tháng,Sản phẩm thường,Em bé,34566,34566,Có,40000,50000,50000,70000,50000,50000,hộp,40000,0,40000,0,40000,0,40000,0,40000,0
Bột wakodo hộp 5M,Sản phẩm thường,Em bé,34568,34568,Có,55000,52000,52000,50000,52000,55000,hộp,55000,0,55000,0,55000,0,55000,0,55000,0
Bột rau củ Wakodo 7 tháng ,Sản phẩm thường,Em bé,34569,34569,Có,55000,52000,52000,50000,52000,55000,Hộp,55000,0,55000,0,55000,0,55000,0,55000,0
0282-Dầu óc chó Kunella Feinkost 100ml,Sản phẩm thường,Em bé,4400050320282,4400050320282,Có,41000,47000,45000,50000,47000,50000,Chai(120),41000,1,41000,3,41000,0,41000,0,41000,0
2460-Dầu hạt Macca Kunella Feinkost 100ml ,Sản phẩm thường,Em bé,4400050322460,4400050322460,Có,57000,62000,60000,80000,62000,65000,Chai(120),57000,1,57000,1,57000,0,57000,0,57000,0
0049-Bình sữa Pigeon nhựa cổ rộng 160ml,Sản phẩm thường,Em bé,450000048,450000048,Có,280000,290000,285000,330000,290000,295000,Cái,280000,23,280000,23,280000,12,280000,0,280000,0
0491-Bình sữa Pigeon nhựa cổ rộng 240ml,Sản phẩm thường,Em bé,4500000491,4500000491,Có,280000,290000,285000,350000,290000,295000,Cái (5x8),280000,18,280000,8,280000,29,280000,0,280000,0
Nước tương tảo bẹ Kid&Mama,Sản phẩm thường,Em bé,45078217,45078217,Có,52000,58000,56000,80000,58000,60000,chai(24),52000,0,52000,0,52000,0,52000,0,52000,0
Bột ăn dặm Matsuya nấm cà chua ,Sản phẩm thường,Em bé,4510549003258,4510549003258,Có,50000,52000,50000,80000,52000,55000,Bịch(32),50000,0,50000,0,50000,0,50000,0,50000,0
5504-Bột ăn dặm Matsuya gạo trắng,Sản phẩm thường,Em bé,4510549005504,4510549005504,Có,52000,58000,57000,80000,58000,60000,Bịch(32),52000,17,52000,10,52000,18,52000,0,52000,0
5511-Bột ăn dặm Matsuya rau củ cà chua,Sản phẩm thường,Em bé,4510549005511,4510549005511,Có,52000,58000,57000,80000,58000,60000,Bịch(32),52000,3,52000,0,52000,0,52000,0,52000,0
5528-Bột ăn dặm Matsuya cá bơn rau củ,Sản phẩm thường,Em bé,4510549005528,4510549005528,Có,52000,58000,57000,80000,58000,60000,Bịch(32),52000,0,52000,0,52000,0,52000,0,52000,0
5535-Bột ăn dặm Matsuya rau củ ,Sản phẩm thường,Em bé,4510549005535,4510549005535,Có,52000,58000,57000,80000,58000,60000,Bịch(32),52000,0,52000,0,52000,0,52000,0,52000,0
5542-Bột ăn dặm Matsuya rong biển,Sản phẩm thường,Em bé,4510549005542,4510549005542,Có,52000,58000,57000,80000,58000,60000,Bịch(32),52000,1,52000,0,52000,0,52000,0,52000,0
5394-Sữa tắm gội tạo bọt em bé Deve 500ml,Sản phẩm thường,Em bé,4513574025394,4513574025394,Có,125000,135000,130000,200000,135000,145000,chai(16),125000,0,125000,0,125000,0,125000,0,125000,0
5237-Miếng lót chống côn trùng 3 Miếng,Sản phẩm thường,Em bé,4516825005237,4516825005237,Có,173250,185000,180000,225000,185000,190000,Hộp,173250,0,173250,2,173250,0,173250,0,173250,0
2127-Đồ chơi cho bé gái My Melody Re-Ment ,Sản phẩm thường,Em bé,4521121152127,4521121152127,Có,170000,190000,185000,250000,190000,195000,Cái,170000,0,170000,0,170000,0,170000,0,170000,0
Sữa tắm em bé,Sản phẩm thường,Em bé,4537130100714,4537130100714,Có,80000,90000,90000,120000,90000,90000,chai,80000,0,80000,0,80000,0,80000,0,80000,0
Dầu gội em bé Bandai  Vịt Donal 300ml,Sản phẩm thường,Em bé,4543112581617,4543112581617,Có,105000,115000,115000,165000,115000,120000,chai (24),105000,0,105000,0,105000,0,105000,0,105000,0
Dầu gội bé Mario 300ml,Sản phẩm thường,Em bé,4543112686756,4543112686756,Có,105000,115000,110000,170000,115000,130000,Chai ( 24),105000,0,105000,0,105000,0,105000,0,105000,0
Dầu gội bé Bandai Pokemon 300ml,Sản phẩm thường,Em bé,4543112862631,4543112862631,Có,115000,115000,115000,165000,115000,120000,chai,115000,0,115000,0,115000,0,115000,0,115000,0
1805-Ngậm nướu chuối Edison nâu,Sản phẩm thường,Em bé,4544742911805,4544742911805,Có,130000,140000,135000,190000,140000,145000,Cái(72),130000,68,130000,3,130000,4,130000,0,130000,0
1836- Ngậm nướu chuối Edisson  vàng,Sản phẩm thường,Em bé,4544742911836,4544742911836,Có,110000,120000,120000,190000,120000,125000,Cái (12x6),110000,2,110000,0,110000,0,110000,0,110000,0
3441-Khay tập ăn 3 ngăn Edison,Sản phẩm thường,Em bé,4544742913441,4544742913441,Có,100000,150000,150000,270000,150000,155000,Cái,100000,1,100000,0,100000,0,100000,0,100000,0
8637v-Yếm em bé,Sản phẩm thường,Em bé,4549131348637,4549131348637,Có,28000,35000,35000,75000,35000,37000,cái,28000,0,28000,0,28000,0,28000,0,28000,0
Giấy ướt vịt donal (30x2),Sản phẩm thường,Em bé,4549131403800,4549131403800,Có,28000,33000,33000,40000,33000,35000,Gói,28000,0,28000,0,28000,0,28000,0,28000,0
3816v-Hộp đựng khăn giấy ướt ,Sản phẩm thường,Em bé,4549131583816,4549131583816,Có,28000,35000,35000,50000,35000,37000,Cái,28000,0,28000,0,28000,0,28000,0,28000,0
Dầu gội trẻ em công chúa Bandai 300ml,Sản phẩm thường,Em bé,4549660045250,4549660045250,Có,105000,115000,110000,165000,115000,120000,chai,105000,0,105000,0,105000,0,105000,0,105000,0
Dầu gội siêu nhân xanh,Sản phẩm thường,Em bé,4549660045311,4549660045311,Có,125000,135000,135000,170000,135000,135000,chai,125000,0,125000,0,125000,0,125000,0,125000,0
Dầu gội em bé BADAI Doremon 300ml,Sản phẩm thường,Em bé,4549660115267,4549660115267,Có,105000,115000,110000,165000,115000,130000,chai (24),105000,0,105000,0,105000,0,105000,0,105000,0
Dầu gội em  bé BANDAI Pokemon vàng 300ml,Sản phẩm thường,Em bé,4549660143857,4549660143857,Có,105000,115000,110000,165000,115000,120000,Chai ( 24),105000,0,105000,0,105000,0,105000,0,105000,0
5208-Dầu gội em bé Bandai hình Rilakkuma 300ml,Sản phẩm thường,Em bé,4549660185208,4549660185208,Có,105000,115000,110000,165000,115000,120000,chai,105000,0,105000,0,105000,0,105000,0,105000,0
5529-Dầu gội em bé Bandai hình cậu bé bút chì 300ml,Sản phẩm thường,Em bé,4549660185529,4549660185529,Có,105000,115000,110000,165000,115000,120000,chai(24),105000,0,105000,0,105000,0,105000,0,105000,0
7538-Dầu gội em bé Bandai hình Kamenrider 300ml,Sản phẩm thường,Em bé,4549660277538,4549660277538,Có,105000,115000,110000,165000,115000,120000,chai(24),105000,0,105000,0,105000,0,105000,0,105000,0
5413-Dầu gội em bé Bandai hình Splatoon 300ml,Sản phẩm thường,Em bé,4549660325413,4549660325413,Có,105000,115000,110000,165000,115000,120000,chai(24),105000,0,105000,0,105000,0,105000,0,105000,0
5666-Dầu gội em bé Bandai hình siêu nhân 300ml,Sản phẩm thường,Em bé,4549660325666,4549660325666,Có,105000,115000,110000,165000,115000,120000,chai(24),105000,0,105000,0,105000,0,105000,0,105000,0
2446-Bộ đồ chơi thủy thủ Ban Dai,Sản phẩm thường,Em bé,4549660392446,4549660392446,Có,65000,80000,75000,100000,80000,85000,Cái,65000,0,65000,0,65000,0,65000,0,65000,0
2774-Mô hình lắp ráp Sonic Eagllet Ban Dai,Sản phẩm thường,Em bé,4549660392774,4549660392774,Có,120000,145000,140000,180000,145000,150000,Cái,120000,0,120000,0,120000,0,120000,0,120000,0
