Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Sữa Meiji thanh 1-3 lẻ,Sản phẩm thường,Tã sữa,05,05,Có,19583,23000,23000,25000,23000,24000,cái,19583,13,19583,10,19583,37,19583,0,19583,0
Sữa Meiji thanh 1-3 nguyên hộp,Sản phẩm thường,Tã sữa,0511,0511,Có,465000,475000,470000,560000,475000,480000,Hộp(8),465000,21,465000,25,465000,17,465000,0,465000,0
Sữa Meiji thanh 0-1 lẻ,Sản phẩm thường,Tã sữa,06,06,Có,20416,24000,24000,27000,24000,25000,Hộp,20416,9,20416,8,20416,13,20416,0,20416,0
Sữa Meiji thanh 0-1 nguyên hộp,Sản phẩm thường,Tã sữa,0611,0611,Có,500000,510000,505000,580000,510000,515000,Hộp(8),500000,16,500000,23,500000,25,500000,0,500000,0
Merries quần M58,Sản phẩm thường,Tã sữa,4901301230591,4901301230591,Có,330000,320000,315000,380000,320000,325000,gói(3),330000,10,330000,15,330000,0,330000,0,330000,0
Merries quần L44,Sản phẩm thường,Tã sữa,4901301230638,4901301230638,Có,335000,320000,315000,380000,320000,325000,gói (3),335000,3,335000,17,335000,29,335000,0,335000,0
Merries quần XL38,Sản phẩm thường,Tã sữa,4901301230676,4901301230676,Có,335000,330000,330000,380000,330000,340000,gói (3),335000,12,335000,12,335000,7,335000,0,335000,0
Merries dán NB90,Sản phẩm thường,Tã sữa,4901301230782,4901301230782,Có,335000,320000,315000,380000,320000,325000,gói(4),335000,8,335000,28,335000,22,335000,0,335000,0
Merries dán S82,Sản phẩm thường,Tã sữa,4901301230812,4901301230812,Có,335000,320000,315000,380000,320000,325000,gói ( 4),335000,14,335000,6,335000,4,335000,0,335000,0
Merries dán M64,Sản phẩm thường,Tã sữa,4901301230843,4901301230843,Có,335000,320000,315000,380000,320000,325000,gói(4),335000,19,335000,18,335000,10,335000,0,335000,0
Merries dán L54,Sản phẩm thường,Tã sữa,4901301230881,4901301230881,Có,335000,320000,315000,380000,320000,325000,gói (4),335000,11,335000,11,335000,16,335000,0,335000,0
Merries dán XL44,Sản phẩm thường,Tã sữa,4901301253422,4901301253422,Có,335000,340000,340000,380000,340000,345000,gói,335000,21,335000,8,335000,11,335000,0,335000,0
Merries Jumbo quần M74,Sản phẩm thường,Tã sữa,4901301259691,4901301259691,Có,360000,365000,360000,420000,365000,370000,gói,360000,7,360000,7,360000,12,360000,0,360000,0
Merries Jumbo quần XL50,Sản phẩm thường,Tã sữa,4901301259738,4901301259738,Có,360000,365000,360000,420000,365000,370000,Gói,360000,0,360000,0,360000,9,360000,0,360000,0
Merries quần XXL26,Sản phẩm thường,Tã sữa,4901301281098,4901301281098,Có,300000,340000,330000,380000,340000,340000,gói (3),300000,27,300000,1,300000,1,300000,0,300000,0
Merries Jumbo quần XXL32,Sản phẩm thường,Tã sữa,4901301281104,4901301281104,Có,350000,365000,360000,420000,365000,370000,gói(2),350000,5,350000,0,350000,0,350000,0,350000,0
Merries quần S62,Sản phẩm thường,Tã sữa,4901301316073,4901301316073,Có,300000,,,350000,,,gói,300000,0,300000,0,300000,0,300000,0,300000,0
Merries quần S62+6,Sản phẩm thường,Tã sữa,4901301316080,4901301316080,Có,300000,320000,315000,380000,320000,325000,bịch,300000,4,300000,11,300000,0,300000,0,300000,0
Merries dán M64+4,Sản phẩm thường,Tã sữa,4901301320063,4901301320063,Có,330000,340000,330000,380000,340000,345000,Gói (2),330000,10,330000,5,330000,7,330000,0,330000,0
